"Symbol","n","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval"
"ATG2A",1,375.4,0,6067.8,0,10039.4,0,1223.5,0
"ATG2B",1,299,0,2503.4,0,2674.5,0,260.7,0
"ATG3",2,922,0,7234.95,0,7927.5,0,1498.05,0
"ATG4A",3,335.533333333333,0.228736666666667,3054.1,0.00115,4570.93333333333,0,469.1,0.306896666666667
"ATG4B",2,1725.55,0.251725,6041.9,0.05,5795,0.163795,1890.7,0.15345
"ATG4C",2,704.55,0,7332.2,0,5809.65,0,531.8,0
"ATG4D",2,245.9,0,2025.25,0,3208,0,429.35,0
"ATG5",1,120.1,0.06897,676,0,862.4,0,142.1,0.11379
"ATG7",1,419.2,0,9076.4,0,12859.3,0,982.9,0
"ATG9A",3,1011.83333333333,0,4763.03333333333,0,8342.9,0,3533.63333333333,0
"ATG9B",1,114.6,0.21034,365,0.00345,485.9,0.0069,124.7,0.5
"ATHL1",1,501.6,0,6821.7,0,5076.8,0,539.3,0
"ATIC",1,9788.2,0,22540.1,0,22798.7,0,10301.4,0
"ATL1",2,305.55,0,1562.7,0,5849.5,0,1640.15,0
"ATL2",1,1297.6,0,17115.7,0,15303.4,0,972.1,0
"ATL3",1,3532.4,0,16886.4,0,27423,0,13740.4,0
"ATM",4,214.5,0.118965,3543.95,0.0905175,4404.15,0.15,310.05,0.131035
"ATMIN",2,890.4,0,9264.75,0,10834.9,0,1259.75,0
"ATN1",3,1478.36666666667,0.103446666666667,5537.56666666667,0.0540233333333333,3930.83333333333,0.0252866666666667,1419.1,0.124136666666667
"ATOH1",1,105.7,0.74483,292.4,0.22414,295,0.6,109.1,0.97241
"ATOH7",2,120.75,0.313795,472.15,0.001725,347.6,0.118965,122.2,0.61552
"ATOH8",1,134.3,0,271.1,0.57241,1515.1,0,140.6,0.13448
"ATOX1",1,4354.9,0,31086.4,0,38136.9,0,14180.7,0
"ATP10A",2,125.5,0.301725,327.6,0.25345,340.65,0.15,139.4,0.360345
"ATP10D",1,101.7,0.88966,267.3,0.62759,612.1,0,136.8,0.21724
"ATP11A",2,168.4,0,737.85,0,1291.45,0,209.75,0.001725
"ATP11B",2,368.55,0,6697.95,0,5183.85,0,376.45,0.05517
"ATP11C",3,525.366666666667,0,6115,0,13069.6333333333,0,2632.06666666667,0
"ATP12A",1,124.8,0.02069,326.6,0.01724,307.5,0.37931,131,0.32069
"ATP13A1",1,1800.5,0,15835.1,0,13957.8,0,2716.3,0
"ATP13A2",1,397.3,0,5455.7,0,8077.1,0,1887.7,0
"ATP13A4",1,334.3,0,317,0.05517,340.8,0.12069,148,0.05862
"ATP13A5",1,99.2,0.95172,263.4,0.70345,305.8,0.41034,121.5,0.62759
"ATP1A1",3,4740.5,0,15995.4666666667,0,24815.6333333333,0,10237.9,0
"ATP1A2",1,116.7,0.15172,269.6,0.6,892.7,0,133.4,0.28276
"ATP1A3",1,127.1,0.01034,556.7,0,294.2,0.61034,123.6,0.55172
"ATP1A4",2,114.05,0.28276,286.35,0.356895,289.25,0.68276,129.8,0.34138
"ATP1B1",3,5963.36666666667,0,18609.6333333333,0,25874.5666666667,0,18249.8,0
"ATP1B2",1,111.1,0.4,301.6,0.14138,403.8,0.01034,190.5,0.00345
"ATP1B3",3,6349.93333333333,0,28145.3,0,30519.4666666667,0,9533.43333333333,0
"ATP1B4",1,110.3,0.46207,286.3,0.31724,298.9,0.54483,111.7,0.94828
"ATP2A1",3,145.033333333333,0,1059.7,0,479.3,0.00689333333333333,129.533333333333,0.377013333333333
"ATP2A2",3,2411.23333333333,0,13079.2,0,14525,0,3687.16666666667,0
"ATP2A3",2,120.9,0.04828,283.05,0.37069,342.15,0.24138,143.2,0.17414
"ATP2B1",3,129.733333333333,0.433333333333333,1120.26666666667,0.00115,4687.3,0.00115,230.566666666667,0.02184
"ATP2B2",3,105.733333333333,0.694256666666667,259.5,0.736783333333333,283.766666666667,0.667816666666667,122.766666666667,0.570116666666667
"ATP2B3",3,102.6,0.839083333333333,269.466666666667,0.610343333333333,317.866666666667,0.385056666666667,129.166666666667,0.499996666666667
"ATP2B4",3,4522.86666666667,0,13523.6,0,13103.7333333333,0,3607.23333333333,0
"ATP2C1",3,1833.76666666667,0,16020.6333333333,0,12857.8333333333,0,1502.96666666667,0
"ATP2C2",1,116.7,0.15172,260.7,0.78966,332.7,0.15172,126.1,0.45517
"ATP4A",1,110.9,0.41034,570,0,274.4,0.87931,119.5,0.68276
"ATP4B",2,104.35,0.70862,289.5,0.439655,293.9,0.60345,116.35,0.739655
"ATP5A1",2,12698.85,0,24257.45,0,24302.25,0,11991.15,0
"ATP5B",1,18287.9,0,24744.4,0,24996.7,0,19320.5,0
"ATP5C1",1,6995.1,0,25294.4,0,25683.5,0,8630,0
"ATP5D",2,3040.9,0,12482.7,0,11999.75,0,3982.85,0
"ATP5E",1,635.7,0,13241.2,0,14501.6,0,1232.8,0
"ATP5EP2",1,1118.1,0,12647.4,0,15268.5,0,3329.9,0
"ATP5F1",2,4474.35,0,16689.1,0,17063.05,0,6158,0
"ATP5G1",2,1551.9,0,18637.5,0,22601.35,0,3951.5,0
"ATP5G2",3,3938.7,0.273563333333333,18125.7333333333,0.00574666666666667,16675.3333333333,0.00459666666666667,6937.06666666667,0.26092
"ATP5G3",1,2519.3,0,13147.2,0,11592.9,0,3763,0
"ATP5H",2,11111.05,0,23053.5,0,23362.8,0,13015.9,0
"ATP5I",2,2387.5,0,26363.45,0,24699.1,0,2867.9,0
"ATP5J",3,10896.9333333333,0,22767.4,0,22993.7666666667,0,10179.1333333333,0
"ATP5J2",2,12166.5,0,22439.75,0,22058,0,11698,0
"ATP5L",2,6568,0,15049.85,0,16649.25,0,8769.4,0
"ATP5O",1,10011,0,25109.7,0,23692.9,0,11713.7,0
"ATP5S",3,517.9,0,8434.33333333333,0,7490.16666666667,0,787,0
"ATP5SL",1,3205.9,0,12583.6,0,12663.6,0,5648.1,0
"ATP6AP1",1,599.6,0,10265.1,0,15933.9,0,1661.3,0
"ATP6AP1L",1,109.9,0.48621,333,0.01724,356.2,0.04483,130.5,0.32414
"ATP6AP2",1,12847.6,0,36208.9,0,38228,0,16245.1,0
"ATP6V0A1",1,734.9,0,14654.4,0,19063.9,0,946,0
"ATP6V0A2",1,1286.1,0,10686.4,0,13677.7,0,2432.9,0
"ATP6V0A4",4,117.3,0.1732775,275.325,0.5569,362.025,0.2051725,122.2,0.6155175
