"","GSM1385013.REP1","GSM1385014.REP2","GSM1385015.REP2","GSM1385016.CTRL","GSM1385017.CBD"
"ATP2C2",-1.31202873,-1.092413,-1.27075949,8.0104,9.163556
"HOXA3",-0.50390647,-0.5718717,-0.31271922,15.4162,15.321413
"FBXO31",-0.31000646,-1.10323,-1.56502682,6.8541,7.777095
"GSTA2",-0.61644951,-0.1991347,-0.37507368,4.4112,4.100013
"CPVL",0.64950906,0.9135532,1.09715626,7.4003,7.499913
"PPAP2A",0.17095149,-0.4922028,-0.41408495,8.6439,8.782426
"AMDHD1",0.37204555,-0.2443525,-0.53261281,5.3521,5.529853
"ZNF780B",0.08649474,-0.1012925,-0.1563272,7.6809,7.372472
"KCNV1",-0.03000832,-0.1091761,2.04577035,3.1484,3.211379
"CECR2",-1.11670322,-0.7323553,-1.22636133,4.9694,4.947928
"CLPP",-0.1490467,-0.6384621,-0.63051596,12.9061,12.964667
"ARMC3",0.09220428,0.8970368,-0.29640973,2.9891,2.593155
"ATMIN",1.15527513,1.0594728,0.97117896,6.129,5.839666
"APOOL",-0.92405555,0.4577557,-0.13224221,7.4349,7.92769
"SPAST",0.64457049,1.1045024,1.93865087,5.0313,4.569836
"SLC4A11",-0.53736289,-0.4458355,-0.24744121,3.877,3.890546
"AVEN",-1.20145955,-0.1164906,-0.23793492,9.9306,10.013691
"KRTAP4-3",-0.72926674,0.2120621,-0.28833477,0.1395,-0.007626
"CPD",1.29397909,1.4905609,1.09075874,6.6276,6.872136
"MMAA",0.56773165,-0.2664866,-0.55390546,6.3711,6.946189
"ANKS1B",-0.47345914,-0.8413078,-1.39491676,1.7543,1.565233
"IL5",-0.24595554,0.6151057,-0.8293943,2.9373,2.975039
"SRD5A2",0.60992148,-0.5697679,0.52074661,3.0299,1.780831
"CCDC86",-1.16043049,-0.6205549,-0.57439314,13.9207,13.439953
"ALOX12",0.50468381,-0.4930605,0.15603498,3.877,3.534091
"BST1",-0.49111973,0.8917517,0.83456801,4.2898,3.83126
"SURF1",-0.53064329,-0.4201767,-0.64072958,10.9089,11.07923
"ZNF174",0.20475528,-0.6350699,-0.76974143,6.2582,6.294948
"ABCA6",-0.1096734,1.7478495,-0.93467319,3.0299,3.211379
"KCNJ12",-0.95343775,-1.43056,-1.56705819,5.1124,5.287788
"IGDCC4",0.17787008,1.3052149,1.23472389,3.587,4.120199
"CDC2L5",1.54221937,1.0172087,1.18211355,9.4152,9.115021
"CCDC45",0.6079505,1.2630223,1.37845037,9.9596,10.136948
"MMP12",-0.44898183,-0.0186219,1.39278813,2.9373,2.482512
"NEDD4",0.24640301,1.7093717,1.39781174,6.7018,6.543699
"PGBD5",0.16421302,-1.5266791,-0.71099532,3.9241,3.769096
"BIRC5",0.00890678,0.3171335,0.19264183,13.1401,12.809278
"SKP1",0.53222519,0.6998902,0.6851817,13.3298,13.305191
"TNFSF11",0.11261001,0.5764521,-0.22810622,2.9373,2.975039
"SDS",-0.36158749,0.2151685,0.43632686,7.9843,7.974847
"ACTA2",-0.03055202,-0.345903,-0.5278261,7.3421,7.548174
"EMG1",-0.80556978,-0.293633,-0.34755571,11.3917,11.515607
"TSPO",-0.28814602,-0.6609413,-0.85942708,11.5579,11.94354
"RPS16",0.04748437,-0.2561624,-0.23999287,15.3214,15.412843
"KIAA1919",-0.2679673,-0.4311611,-0.60073596,5.6487,5.416154
"AK2",0.08664151,-0.7798146,-0.43693347,9.9081,9.909529
"CTNNA1",1.11406911,0.3345636,0.41305418,11.61,11.663388
"LRRC20",-0.01981458,-1.626554,-1.65956427,9.8604,10.345809
"BCAR1",0.1008267,-0.1268124,-0.14806071,10.5458,10.461462
"COLEC11",0.05048354,-1.2768414,-1.67164809,3.2249,3.211379
"EIF3J",-0.10219286,1.0497217,1.02815339,11.9897,11.774085
"C9orf16",-0.01114631,-1.2624674,-1.05362773,9.9985,10.224797
