"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"ASPA",164.3,-195.3,2.39592183517417,0.409434532809193,117.7,0.12759,282,0.35172,330.7,0.17241,135.4,0.24483,"ASPA",1
"ASPG",176.6,-170.9,2.42995951417004,0.441868060091444,123.5,0.02069,300.1,0.15517,306.2,0.40345,135.3,0.24483,"ASPG",1
"ASPH",5353.36666666667,-8773.66666666667,13.1089497097188,0.0826650495418727,442.1,0,5795.46666666667,0,9564.3,0,790.633333333333,0,"ASPH",3
"ASPHD1",3867.7,-4225.15,13.390517379465,0.206529700088265,312.15,0.14483,4179.85,0,5324.9,0,1099.75,0.006895,"ASPHD1",2
"ASPHD2",940.1,-3673.2,8.14904942965779,0.131672261358801,131.5,0,1071.6,0,4230.2,0,557,0,"ASPHD2",1
"ASPM",8434.8,-7867,6.11292962356792,0.137380892334346,1649.7,0,10084.5,0,9119.9,0,1252.9,0,"ASPM",1
"ASPN",108.6,-222.5,1.80623608017817,0.36374034887046,134.7,0,243.3,0.96897,349.7,0.07241,127.2,0.41724,"ASPN",1
"ASPRV1",762.9,-733.7,6.78392721758908,0.16482640865111,131.9,0,894.8,0,878.5,0,144.8,0.08276,"ASPRV1",1
"ASPSCR1",8318.4,-7966.55,11.9654626944371,0.159380605676902,758.6,0.00517,9077,0,9477,0,1510.45,0.001725,"ASPSCR1",2
"ASRGL1",353.1,-260.7,3.2235516372796,0.352459016393443,158.8,0,511.9,0,402.6,0.01034,141.9,0.12069,"ASRGL1",1
"ASS1",5178.13333333333,-5402.7,10.4227829673663,0.442597298979637,549.533333333333,0,5727.66666666667,0,9692.63333333333,0,4289.93333333333,0,"ASS1",3
"ASTE1",1175.7,-1474.9,11.7468007312614,0.0828877005347594,109.4,0.50345,1285.1,0,1608.2,0,133.3,0.28621,"ASTE1",1
"ASTL",193.7,-146.1,2.82735849056604,0.479700854700855,106,0.72759,299.7,0.16207,280.8,0.81379,134.7,0.25862,"ASTL",1
"ASTN1",151.45,-183.6,2.43895486935867,0.406305578011318,105.25,0.70517,256.7,0.83103,309.25,0.368965,125.65,0.467245,"ASTN1",2
"ASTN2",4546.16666666667,-3751.66666666667,16.0352772571933,0.0665793096584783,302.366666666667,0,4848.53333333333,0,4019.26666666667,0,267.6,0.00574666666666667,"ASTN2",3
"ASXL1",3713.1,-4241.3,4.07706969420734,0.547941847327919,1206.7,0,4919.8,0,9382.2,0,5140.9,0,"ASXL1",1
"ASXL2",5576.3,-4896.2,4.5348969889065,0.338547999243468,1577.5,0,7153.8,0,7402.2,0,2506,0,"ASXL2",1
"ASZ1",176.6,-166.6,2.64585274930102,0.410056657223796,107.3,0.563795,283.9,0.344825,282.4,0.781035,115.8,0.79483,"ASZ1",2
"ATAD1",7481.55,-11856.45,16.7755403268318,0.0950103807284829,474.25,0,7955.8,0,13101.2,0,1244.75,0,"ATAD1",2
"ATAD2",11103.4,-11654.9,8.64854997589033,0.128866133492787,1451.7,0,12555.1,0,13379,0,1724.1,0,"ATAD2",1
"ATAD2B",494.8,-377.8,4.55971223021583,0.279969506384601,139,0,633.8,0,524.7,0.0069,146.9,0.05862,"ATAD2B",1
"ATAD3A",4716,-7529.7,9.73818788215675,0.260380138500074,539.7,0,5255.7,0,10180.5,0,2650.8,0,"ATAD3A",1
"ATAD3B",4619.4,-8464.4,11.2973695942934,0.164645158743474,448.6,0,5068,0,10132.7,0,1668.3,0,"ATAD3B",1
"ATAD3C",237.9,-241.6,2.49905482041588,0.367042179722295,158.7,0,396.6,0.00345,381.7,0.01724,140.1,0.14138,"ATAD3C",1
"ATAD5",615.9,-683.4,5.45658465991317,0.189900426742532,138.2,0,754.1,0,843.6,0,160.2,0.01724,"ATAD5",1
"ATCAY",190.8,-224.3,2.89098116947473,0.360057061340942,100.9,0.91724,291.7,0.24828,350.5,0.07241,126.2,0.45517,"ATCAY",1
"ATE1",4107.325,-5676.95,12.4092361111111,0.12064685768279,360,0.08362,4467.325,0,6455.825,0,778.875,0.006035,"ATE1",4
"ATF1",4320.9,-4863.3,14.6867279062401,0.105419027297476,315.7,0,4636.6,0,5436.4,0,573.1,0,"ATF1",1
"ATF2",14776.9,-16483.6,6.14372737399053,0.212795018004336,2872.8,0,17649.7,0,20939.4,0,4455.8,0,"ATF2",1
"ATF3",2188.06666666667,-1168.6,4.6116643741403,0.307099375444699,605.833333333333,0.191953333333333,2793.9,0.15977,1686.53333333333,0.04253,517.933333333333,0.0735633333333333,"ATF3",3
"ATF4",7675.8,-6583.4,2.09927534156331,0.568669331062046,6982.6,0,14658.4,0,15263,0,8679.6,0,"ATF4",3
"ATF5",2945,-1942.3,2.49106374360792,0.304234130964322,1975.1,0,4920.1,0,2791.6,0,849.3,0,"ATF5",1
"ATF6",13255.2,-10759.7,3.07326305252291,0.449042710621585,6393.4,0,19648.6,0,19529.1,0,8769.4,0,"ATF6",1
"ATF6B",5966.3,-7410.4,9.56734635267088,0.223968750981768,696.4,0,6662.7,0,9549.1,0,2138.7,0,"ATF6B",2
"ATF7",187.6,-180.3,2.69314079422383,0.417823700355182,110.8,0.41034,298.4,0.16897,309.7,0.36207,129.4,0.34828,"ATF7",1
"ATF7IP",2400,-953,21.3562340966921,0.13269020749909,117.9,0.11034,2517.9,0,1098.8,0,145.8,0.06897,"ATF7IP",1
"ATF7IP2",581.7,-2852.8,3.30011862396204,0.104301412872841,252.9,0,834.6,0,3185,0,332.2,0,"ATF7IP2",1
"ATG10",5879.9,-5256.7,5.80934074922297,0.225303956967062,1222.6,0,7102.5,0,6785.5,0,1528.8,0,"ATG10",1
"ATG12",14937,-20657.1,7.89293954776188,0.158402288033049,2167,0,17104,0,24545.1,0,3888,0,"ATG12",1
"ATG16L1",11028.55,-13260.45,4.04921409513803,0.317063058794446,3616.85,0,14645.4,0,19416.8,0,6156.35,0,"ATG16L1",2
"ATG16L2",853.1,-1231.2,7.29129793510325,0.128230545918006,135.6,0,988.7,0,1412.3,0,181.1,0.00345,"ATG16L2",1
"ATG2A",5692.4,-8815.9,16.1635588705381,0.121869832858537,375.4,0,6067.8,0,10039.4,0,1223.5,0,"ATG2A",1
"ATG2B",2204.4,-2413.8,8.37257525083612,0.0974761637689288,299,0,2503.4,0,2674.5,0,260.7,0,"ATG2B",1
"ATG3",6312.95,-6429.45,7.84701735357918,0.188968779564806,922,0,7234.95,0,7927.5,0,1498.05,0,"ATG3",2
"ATG4A",2718.56666666667,-4101.83333333333,9.10222531293463,0.102626742897147,335.533333333333,0.228736666666667,3054.1,0.00115,4570.93333333333,0,469.1,0.306896666666667,"ATG4A",3
"ATG4B",4316.35,-3904.3,3.50143432528759,0.326264020707506,1725.55,0.251725,6041.9,0.05,5795,0.163795,1890.7,0.15345,"ATG4B",2
"ATG4C",6627.65,-5277.85,10.4069264069264,0.0915373559508748,704.55,0,7332.2,0,5809.65,0,531.8,0,"ATG4C",2
"ATG4D",1779.35,-2778.65,8.23607157381049,0.133837281795511,245.9,0,2025.25,0,3208,0,429.35,0,"ATG4D",2
"ATG5",555.9,-720.3,5.62864279766861,0.164772727272727,120.1,0.06897,676,0,862.4,0,142.1,0.11379,"ATG5",1
"ATG7",8657.2,-11876.4,21.6517175572519,0.0764349536911029,419.2,0,9076.4,0,12859.3,0,982.9,0,"ATG7",1
"ATG9A",3751.2,-4809.26666666667,4.70732992917147,0.423549764869929,1011.83333333333,0,4763.03333333333,0,8342.9,0,3533.63333333333,0,"ATG9A",3
"ATG9B",250.4,-361.2,3.18499127399651,0.256637168141593,114.6,0.21034,365,0.00345,485.9,0.0069,124.7,0.5,"ATG9B",1
"ATHL1",6320.1,-4537.5,13.5998803827751,0.106228332808068,501.6,0,6821.7,0,5076.8,0,539.3,0,"ATHL1",1
"ATIC",12751.9,-12497.3,2.30278294272696,0.451841552369214,9788.2,0,22540.1,0,22798.7,0,10301.4,0,"ATIC",1
"ATL1",1257.15,-4209.35,5.11438389788905,0.280391486451833,305.55,0,1562.7,0,5849.5,0,1640.15,0,"ATL1",2
"ATL2",15818.1,-14331.3,13.1902743526511,0.0635218317498072,1297.6,0,17115.7,0,15303.4,0,972.1,0,"ATL2",1
"ATL3",13354,-13682.6,4.78043256709319,0.501053859898625,3532.4,0,16886.4,0,27423,0,13740.4,0,"ATL3",1
"ATM",3329.45,-4094.1,16.5219114219114,0.0703995095534893,214.5,0.118965,3543.95,0.0905175,4404.15,0.15,310.05,0.131035,"ATM",4
"ATMIN",8374.35,-9575.15,10.4051549865229,0.116267801271816,890.4,0,9264.75,0,10834.9,0,1259.75,0,"ATMIN",2
"ATN1",4059.2,-2511.73333333333,3.74573290342946,0.361017595929616,1478.36666666667,0.103446666666667,5537.56666666667,0.0540233333333333,3930.83333333333,0.0252866666666667,1419.1,0.124136666666667,"ATN1",3
"ATOH1",186.7,-185.9,2.76631977294229,0.369830508474576,105.7,0.74483,292.4,0.22414,295,0.6,109.1,0.97241,"ATOH1",1
"ATOH7",351.4,-225.4,3.91014492753623,0.351553509781358,120.75,0.313795,472.15,0.001725,347.6,0.118965,122.2,0.61552,"ATOH7",2
"ATOH8",136.8,-1374.5,2.01861504095309,0.0927991551712758,134.3,0,271.1,0.57241,1515.1,0,140.6,0.13448,"ATOH8",1
"ATOX1",26731.5,-23956.2,7.13825805414591,0.371836725061555,4354.9,0,31086.4,0,38136.9,0,14180.7,0,"ATOX1",1
"ATP10A",202.1,-201.25,2.61035856573705,0.409217672097461,125.5,0.301725,327.6,0.25345,340.65,0.15,139.4,0.360345,"ATP10A",2
"ATP10D",165.6,-475.3,2.6283185840708,0.223492893318085,101.7,0.88966,267.3,0.62759,612.1,0,136.8,0.21724,"ATP10D",1
"ATP11A",569.45,-1081.7,4.38153206650831,0.162414340470014,168.4,0,737.85,0,1291.45,0,209.75,0.001725,"ATP11A",2
"ATP11B",6329.4,-4807.4,18.1737891737892,0.072619771019609,368.55,0,6697.95,0,5183.85,0,376.45,0.05517,"ATP11B",2
"ATP11C",5589.63333333333,-10437.5666666667,11.6394898800838,0.201387950184779,525.366666666667,0,6115,0,13069.6333333333,0,2632.06666666667,0,"ATP11C",3
"ATP12A",201.8,-176.5,2.61698717948718,0.426016260162602,124.8,0.02069,326.6,0.01724,307.5,0.37931,131,0.32069,"ATP12A",1
"ATP13A1",14034.6,-11241.5,8.79483476811997,0.194608032784536,1800.5,0,15835.1,0,13957.8,0,2716.3,0,"ATP13A1",1
"ATP13A2",5058.4,-6189.4,13.7319405990435,0.233710118730733,397.3,0,5455.7,0,8077.1,0,1887.7,0,"ATP13A2",1
"ATP13A4",-17.3,-192.8,0.948250074783129,0.434272300469484,334.3,0,317,0.05517,340.8,0.12069,148,0.05862,"ATP13A4",1
"ATP13A5",164.2,-184.3,2.65524193548387,0.3973185088293,99.2,0.95172,263.4,0.70345,305.8,0.41034,121.5,0.62759,"ATP13A5",1
"ATP1A1",11254.9666666667,-14577.7333333333,3.37421509686039,0.412558481279946,4740.5,0,15995.4666666667,0,24815.6333333333,0,10237.9,0,"ATP1A1",3
"ATP1A2",152.9,-759.3,2.3101970865467,0.149434300436877,116.7,0.15172,269.6,0.6,892.7,0,133.4,0.28276,"ATP1A2",1
"ATP1A3",429.6,-170.6,4.38001573564123,0.420122365737593,127.1,0.01034,556.7,0,294.2,0.61034,123.6,0.55172,"ATP1A3",1
"ATP1A4",172.3,-159.45,2.51074090311267,0.448746758859118,114.05,0.28276,286.35,0.356895,289.25,0.68276,129.8,0.34138,"ATP1A4",2
"ATP1B1",12646.2666666667,-7624.76666666667,3.12065891191217,0.705318092283671,5963.36666666667,0,18609.6333333333,0,25874.5666666667,0,18249.8,0,"ATP1B1",3
"ATP1B2",190.5,-213.3,2.71467146714672,0.471768202080238,111.1,0.4,301.6,0.14138,403.8,0.01034,190.5,0.00345,"ATP1B2",1
"ATP1B3",21795.3666666667,-20986.0333333333,4.4323772428057,0.312372212707955,6349.93333333333,0,28145.3,0,30519.4666666667,0,9533.43333333333,0,"ATP1B3",3
"ATP1B4",176,-187.2,2.59564823209429,0.373703579792573,110.3,0.46207,286.3,0.31724,298.9,0.54483,111.7,0.94828,"ATP1B4",1
"ATP2A1",914.666666666667,-349.766666666667,7.30659618478511,0.270255233326379,145.033333333333,0,1059.7,0,479.3,0.00689333333333333,129.533333333333,0.377013333333333,"ATP2A1",3
"ATP2A2",10667.9666666667,-10837.8333333333,5.42427803198916,0.253849684452094,2411.23333333333,0,13079.2,0,14525,0,3687.16666666667,0,"ATP2A2",3
"ATP2A3",162.15,-198.95,2.34119106699752,0.418529884553558,120.9,0.04828,283.05,0.37069,342.15,0.24138,143.2,0.17414,"ATP2A3",2
"ATP2B1",990.533333333333,-4456.73333333333,8.63514902363823,0.0491896543141396,129.733333333333,0.433333333333333,1120.26666666667,0.00115,4687.3,0.00115,230.566666666667,0.02184,"ATP2B1",3
"ATP2B2",153.766666666667,-161,2.45428751576293,0.432632444496652,105.733333333333,0.694256666666667,259.5,0.736783333333333,283.766666666667,0.667816666666667,122.766666666667,0.570116666666667,"ATP2B2",3
"ATP2B3",166.866666666667,-188.7,2.62638076673164,0.406354865771812,102.6,0.839083333333333,269.466666666667,0.610343333333333,317.866666666667,0.385056666666667,129.166666666667,0.499996666666667,"ATP2B3",3
"ATP2B4",9000.73333333333,-9496.5,2.99005055790575,0.275282871039297,4522.86666666667,0,13523.6,0,13103.7333333333,0,3607.23333333333,0,"ATP2B4",3
"ATP2C1",14186.8666666667,-11354.8666666667,8.73646229073128,0.116891129920801,1833.76666666667,0,16020.6333333333,0,12857.8333333333,0,1502.96666666667,0,"ATP2C1",3
"ATP2C2",144,-206.6,2.23393316195373,0.379020138262699,116.7,0.15172,260.7,0.78966,332.7,0.15172,126.1,0.45517,"ATP2C2",1
"ATP4A",459.1,-154.9,5.13976555455365,0.435495626822157,110.9,0.41034,570,0,274.4,0.87931,119.5,0.68276,"ATP4A",1
"ATP4B",185.15,-177.55,2.77431720172496,0.395882953385505,104.35,0.70862,289.5,0.439655,293.9,0.60345,116.35,0.739655,"ATP4B",2
"ATP5A1",11558.6,-12311.1,1.91020840469806,0.493417276178132,12698.85,0,24257.45,0,24302.25,0,11991.15,0,"ATP5A1",2
"ATP5B",6456.5,-5676.2,1.35304764352386,0.772922025707393,18287.9,0,24744.4,0,24996.7,0,19320.5,0,"ATP5B",1
"ATP5C1",18299.3,-17053.5,3.61601692613401,0.336013393813149,6995.1,0,25294.4,0,25683.5,0,8630,0,"ATP5C1",1
"ATP5D",9441.8,-8016.9,4.10493603867276,0.331911081480864,3040.9,0,12482.7,0,11999.75,0,3982.85,0,"ATP5D",2
"ATP5E",12605.5,-13268.8,20.8293220072361,0.0850113090969272,635.7,0,13241.2,0,14501.6,0,1232.8,0,"ATP5E",1
"ATP5EP2",11529.3,-11938.6,11.3115105983365,0.218089530733209,1118.1,0,12647.4,0,15268.5,0,3329.9,0,"ATP5EP2",1
"ATP5F1",12214.75,-10905.05,3.72994960161811,0.360896791605252,4474.35,0,16689.1,0,17063.05,0,6158,0,"ATP5F1",2
"ATP5G1",17085.6,-18649.85,12.0094722598106,0.174834689078307,1551.9,0,18637.5,0,22601.35,0,3951.5,0,"ATP5G1",2
"ATP5G2",14187.0333333333,-9738.26666666667,4.60195834497,0.416007676008476,3938.7,0.273563333333333,18125.7333333333,0.00574666666666667,16675.3333333333,0.00459666666666667,6937.06666666667,0.26092,"ATP5G2",3
"ATP5G3",10627.9,-7829.9,5.21859246616124,0.324595226388565,2519.3,0,13147.2,0,11592.9,0,3763,0,"ATP5G3",1
"ATP5H",11942.45,-10346.9,2.07482641154526,0.557120721831287,11111.05,0,23053.5,0,23362.8,0,13015.9,0,"ATP5H",2
"ATP5I",23975.95,-21831.2,11.0422827225131,0.116113542598718,2387.5,0,26363.45,0,24699.1,0,2867.9,0,"ATP5I",2
"ATP5J",11870.4666666667,-12814.6333333333,2.08934012015613,0.4426909901669,10896.9333333333,0,22767.4,0,22993.7666666667,0,10179.1333333333,0,"ATP5J",3
"ATP5J2",10273.25,-10360,1.8443882792915,0.530329132287605,12166.5,0,22439.75,0,22058,0,11698,0,"ATP5J2",2
"ATP5L",8481.85,-7879.85,2.29139007308161,0.526714416565311,6568,0,15049.85,0,16649.25,0,8769.4,0,"ATP5L",2
"ATP5O",15098.7,-11979.2,2.50821096793527,0.494397055658024,10011,0,25109.7,0,23692.9,0,11713.7,0,"ATP5O",1
"ATP5S",7916.43333333333,-6703.16666666667,16.2856407285834,0.105071093211099,517.9,0,8434.33333333333,0,7490.16666666667,0,787,0,"ATP5S",3
"ATP5SL",9377.7,-7015.5,3.92513802676316,0.446010613095802,3205.9,0,12583.6,0,12663.6,0,5648.1,0,"ATP5SL",1
"ATP6AP1",9665.5,-14272.6,17.119913275517,0.104261982314437,599.6,0,10265.1,0,15933.9,0,1661.3,0,"ATP6AP1",1
"ATP6AP1L",223.1,-225.7,3.03002729754322,0.366367209432903,109.9,0.48621,333,0.01724,356.2,0.04483,130.5,0.32414,"ATP6AP1L",1
"ATP6AP2",23361.3,-21982.9,2.81833961206762,0.424952914094381,12847.6,0,36208.9,0,38228,0,16245.1,0,"ATP6AP2",1
"ATP6V0A1",13919.5,-18117.9,19.9406722002994,0.0496225850953897,734.9,0,14654.4,0,19063.9,0,946,0,"ATP6V0A1",1
"ATP6V0A2",9400.3,-11244.8,8.30915169893476,0.177873472879212,1286.1,0,10686.4,0,13677.7,0,2432.9,0,"ATP6V0A2",1
"ATP6V0A4",158.025,-239.825,2.34718670076726,0.337545749602928,117.3,0.1732775,275.325,0.5569,362.025,0.2051725,122.2,0.6155175,"ATP6V0A4",4
"ATP6V0B",11287.8,-9194.45,4.72971633431909,0.565926880623932,3026.45,0,14314.25,0,21181.8,0,11987.35,0,"ATP6V0B",2
"ATP6V0C",2805.8,-7203,14.278750591576,0.0627439754333004,211.3,0,3017.1,0,7685.2,0,482.2,0,"ATP6V0C",1
"ATP6V0D1",12788.8,-14579.2,12.7017110440113,0.191019715121215,1092.9,0,13881.7,0,18021.7,0,3442.5,0,"ATP6V0D1",1
"ATP6V0D2",206.9,-381,2.93908153701968,0.250147608738437,106.7,0.68276,313.6,0.06552,508.1,0.0069,127.1,0.41724,"ATP6V0D2",1
"ATP6V0E1",8641.2,-8158.15,2.20319135604784,0.559163084504797,7181.9,0,15823.1,0,18506.05,0,10347.9,0,"ATP6V0E1",2
"ATP6V0E2",10477.6,-11061.9,3.53375894757206,0.369480338119368,4135.2,0,14612.8,0,17544.1,0,6482.2,0,"ATP6V0E2",1
"ATP6V1A",12472.8,-11944.6,3.76172973451719,0.379601207078341,4516.3,0,16989.1,0,19253.1,0,7308.5,0,"ATP6V1A",1
"ATP6V1B1",4466.7,-1448.7,10.8996010638298,0.167892016082711,451.2,0,4917.9,0,1741,0,292.3,0,"ATP6V1B1",1
"ATP6V1B2",16272.2,-19318.9,3.79087556813309,0.288975175282015,5830.5,0,22102.7,0,27170.5,0,7851.6,0,"ATP6V1B2",1
"ATP6V1C1",7742.15,-9011.4,7.02056845133948,0.242898550724638,1285.95,0,9028.1,0,11902.5,0,2891.1,0,"ATP6V1C1",2
"ATP6V1C2",249.6,-227.15,3.02597402597403,0.403100775193798,123.2,0.184485,372.8,0.12586,380.55,0.20517,153.4,0.103445,"ATP6V1C2",2
"ATP6V1D",22374.2,-24790.8,4.01620382852521,0.338227285831741,7418,0,29792.2,0,37461.2,0,12670.4,0,"ATP6V1D",1
"ATP6V1E1",22421.2,-17593.8,3.43176087156933,0.533143871548094,9220.15,0,31641.35,0,37685.7,0,20091.9,0,"ATP6V1E1",2
"ATP6V1E2",3578.9,-2530.1,12.8663793103448,0.147999730603448,301.6,0,3880.5,0,2969.6,0,439.5,0,"ATP6V1E2",1
"ATP6V1F",13149.3,-13447.4,3.06883368209066,0.42366227365263,6355.9,0,19505.2,0,23332.5,0,9885.1,0,"ATP6V1F",1
"ATP6V1G1",14558.9,-15522.1,3.1081828581358,0.331704439775428,6905.9,0,21464.8,0,23226.4,0,7704.3,0,"ATP6V1G1",1
"ATP6V1G2",964,-648.5,9.1384550443225,0.169547957484953,118.45,0.163795,1082.45,0,780.9,0.00345,132.4,0.301725,"ATP6V1G2",2
"ATP6V1G3",179.65,-348.7,2.7751976284585,0.288149433500051,101.2,0.872415,280.85,0.4931,489.85,0.063795,141.15,0.18276,"ATP6V1G3",2
"ATP6V1H",5447.15,-7646.7,29.9896221394359,0.0503589081244877,187.9,0,5635.05,0,8052.2,0,405.5,0,"ATP6V1H",2
"ATP7A",4930.8,-6564.6,4.30172760144636,0.280331517151408,1493.4,0,6424.2,0,9121.7,0,2557.1,0,"ATP7A",1
"ATP7B",6473.25,-6534.85,7.41392122863513,0.17066221635616,1009.25,0,7482.5,0,7879.6,0,1344.75,0,"ATP7B",2
"ATP8A1",660.7,-1936.4,4.49022715266772,0.121654721945024,189.3,0,850,0,2204.6,0,268.2,0,"ATP8A1",1
"ATP8A2",192.8,-261.5,2.76073059360731,0.356861780619774,109.5,0.5,302.3,0.13793,406.6,0.01034,145.1,0.07586,"ATP8A2",1
"ATP8B1",202.9,-1718.1,2.66447908121411,0.153561927283476,121.9,0.03103,324.8,0.01724,2029.8,0,311.7,0,"ATP8B1",1
"ATP8B2",3314.53333333333,-5806.73333333333,9.60396296616769,0.17952703243704,385.233333333333,0,3699.76666666667,0,7077.3,0,1270.56666666667,0,"ATP8B2",3
"ATP8B3",386.8,-798.9,3.80086893555395,0.148203433201834,138.1,0,524.9,0,937.9,0,139,0.16207,"ATP8B3",1
"ATP8B4",164.8,-241.2,2.28951486697966,0.320371935756551,127.8,0.0069,292.6,0.22414,354.9,0.04828,113.7,0.92759,"ATP8B4",1
"ATP9A",5091.1,-9282.1,2.73856573705179,0.473077992926764,2928.33333333333,0.0103433333333333,8019.43333333333,0,17615.7,0,8333.6,0,"ATP9A",3
"ATP9B",3983.5,-1649.8,8.75150807550107,0.233613601523668,513.9,0,4497.4,0,2152.7,0,502.9,0,"ATP9B",1
"ATPAF1",9408.45,-7600.3,4.35022967631663,0.268202738354291,2808.3,0,12216.75,0,10385.8,0,2785.5,0,"ATPAF1",2
"ATPAF2",3699,-4830.7,14.1683873264507,0.0791299706431812,280.9,0,3979.9,0,5245.8,0,415.1,0,"ATPAF2",1
"ATPBD3",921.1,-1116.1,7.28308321964529,0.147038593809706,146.6,0,1067.7,0,1308.5,0,192.4,0.00345,"ATPBD3",1
"ATPBD4",15593.75,-2418.65,6.61309888052986,0.143931617881287,2778.1,0,18371.85,0,2825.3,0,406.65,0,"ATPBD4",2
"ATPGD1",871.4,-941.8,8.04446240905416,0.122519332898537,123.7,0.02069,995.1,0,1073.3,0,131.5,0.31034,"ATPGD1",1
"ATPIF1",5406.75,-5568.9,18.5287728967418,0.0836329529466938,308.45,0,5715.2,0,6077.15,0,508.25,0.00345,"ATPIF1",2
"ATR",3143.26666666667,-3302.93333333333,9.5999088007296,0.133641681166009,365.5,0.196553333333333,3508.76666666667,0.0563233333333333,3812.43333333333,0.00574666666666667,509.5,0.31954,"ATR",3
"ATRIP",5175.25,-8911,6.87729260121515,0.27901905813723,880.55,0,6055.8,0,12359.55,0,3448.55,0,"ATRIP",2
"ATRN",3985.76,-5155.26,21.1728919931167,0.0583380825040551,197.58,0.00069,4183.34,0,5474.64,0,319.38,0.008966,"ATRN",5
"ATRNL1",154,-194.2,2.28547579298831,0.419952210274791,119.8,0.07586,273.8,0.52759,334.8,0.14483,140.6,0.13448,"ATRNL1",1
"ATRX",1215.7,-1192.03333333333,7.86319156943922,0.163426673216834,177.133333333333,0.494253333333333,1392.83333333333,0.54483,1424.9,0.19655,232.866666666667,0.37471,"ATRX",3
"ATXN1",167.45,-4663.5,1.72536278969028,0.121147304644435,230.85,0,398.3,0.031035,5306.35,0,642.85,0,"ATXN1",2
"ATXN10",2609.5,-3623.6,7.65434145097539,0.149130016202127,392.15,0,3001.65,0,4258.7,0,635.1,0.001725,"ATXN10",2
"ATXN1L",2545.9,-3579.96666666667,4.75058927519151,0.235305844909468,678.8,0,3224.7,0,4681.56666666667,0,1101.6,0,"ATXN1L",3
"ATXN2",16871.4,-20016.4,21.2392034548944,0.0501850621619057,833.6,0,17705,0,21074,0,1057.6,0,"ATXN2",1
"ATXN2L",6392.3,-8808.9,7.00808308661121,0.172511941833758,1063.95,0,7456.25,0,10645.35,0,1836.45,0,"ATXN2L",2
"ATXN3",7168.7,-6853.7,9.88479890933879,0.140574939653281,806.85,0,7975.55,0,7974.75,0,1121.05,0.006895,"ATXN3",2
"ATXN7",149.5,-132.3,2.30681818181818,0.484009360374415,114.4,0.21724,263.9,0.68966,256.4,0.98621,124.1,0.51724,"ATXN7",1
"ATXN7L1",394.7,-1351.2,4.03149001536098,0.268118297042574,130.2,0.00345,524.9,0,1846.2,0,495,0,"ATXN7L1",1
"ATXN7L2",1084.2,-1452.5,9.82180634662327,0.0991689407095014,122.9,0.02414,1207.1,0,1612.4,0,159.9,0.01724,"ATXN7L2",1
"ATXN8OS",196.7,-165.2,2.91715399610136,0.438858695652174,102.6,0.87586,299.3,0.16207,294.4,0.6069,129.2,0.34828,"ATXN8OS",1
"AUH",9089.5,-10349.4,15.1185150667909,0.107710346849216,643.8,0,9733.3,0,11598.7,0,1249.3,0,"AUH",1
"AUP1",10750.6,-10645.3,4.51361244566461,0.292586488749485,3059.7,0,13810.3,0,15048.2,0,4402.9,0,"AUP1",1
"AURKA",18526.05,-22592.2,9.12296663305126,0.0975267290227354,2280.7,0,20806.75,0,25033.65,0,2441.45,0,"AURKA",2
"AURKAIP1",14871.3,-14785.9,3.79698696608926,0.306435195391839,5316.9,0,20188.2,0,21318.7,0,6532.8,0,"AURKAIP1",1
"AURKAPS1",386.7,-373.3,3.64681724845996,0.294062027231468,146.1,0,532.8,0,528.8,0.0069,155.5,0.02414,"AURKAPS1",1
"AURKB",10901.5,-9769.2,59.2656333511491,0.0169754173416919,187.1,0,11088.6,0,9937.9,0,168.7,0.01379,"AURKB",1
"AURKC",345.533333333333,-293.2,3.37915997245811,0.337899887090704,145.233333333333,0.216093333333333,490.766666666667,0.212643333333333,442.833333333333,0.283906666666667,149.633333333333,0.200003333333333,"AURKC",3
"AUTS2",423.4,-9399.4,2.58933933933934,0.190321135690166,266.4,0,689.8,0,11608.8,0,2209.4,0,"AUTS2",1
"AVEN",9876.3,-10620.1,7.72909995230633,0.195526198177452,1467.7,0,11344,0,13201.3,0,2581.2,0,"AVEN",1
"AVIL",500.4,-321.1,4.72876304023845,0.336707291881843,134.2,0,634.6,0,484.1,0.0069,163,0.01724,"AVIL",1
"AVL9",7151.1,-6651.5,25.4273270708796,0.0429083269781429,292.75,0,7443.85,0,6949.7,0,298.2,0,"AVL9",2
"AVP",186.85,-184.95,2.53030303030303,0.455949404324165,122.1,0.15517,308.95,0.203445,339.95,0.36724,155,0.46724,"AVP",2
"AVPI1",20790.5,-13228.9,3.30920884564549,0.449575601231589,9003.3,0,29793.8,0,24034,0,10805.1,0,"AVPI1",1
"AVPR1A",144.2,-162.6,2.33518518518519,0.456732375542933,108,0.58621,252.2,0.92414,299.3,0.54483,136.7,0.21724,"AVPR1A",1
"AVPR1B",185,-161.9,2.8389662027833,0.435691878703381,100.6,0.92759,285.6,0.32414,286.9,0.72069,125,0.4931,"AVPR1B",1
