"","DE_Incr_ARHGEF10_cntrl","DE_decr_ARGHEF10_cntrl","FC_incr_ARHGEF10_cntrl","FC_decr_ARGHEF10_cntrl","MiaPACA2_EV","MiaPACA2_EV.Detection_Pval","MiaPACA2_ARHGEF10","MiaPACA2_ARHGEF10.Detection_Pval","Hs766T_shGFP","Hs766T_shGFP.Detection_Pval","Hs766T_shARHGEF10","Hs766T_shARHGEF10.Detection_Pval","Symbol","n"
"NMNAT2",453.166666666667,-3465.23333333333,5.21028182099721,0.0631043899097865,107.633333333333,0.62069,560.8,0.113793333333333,3698.63333333333,0.124136666666667,233.4,0.31954,"NMNAT2",3
"NMNAT3",173.65,-178.5,2.5580978017048,0.413696830349811,111.45,0.393105,285.1,0.356895,304.45,0.463795,125.95,0.529315,"NMNAT3",2
"NMRAL1",5386.9,-7244.3,7.40763649339836,0.300479910390977,840.7,0,6227.6,0,10356.1,0,3111.8,0,"NMRAL1",1
"NMS",165.6,-179.4,2.44755244755245,0.39268788083954,114.4,0.21379,280,0.3931,295.4,0.5931,116,0.87241,"NMS",1
"NMT1",4298.1,-4005.1,12.0832903558535,0.13918799836654,387.8,0,4685.9,0,4652.7,0,647.6,0,"NMT1",1
"NMT2",3027.2,-1202.6,11.8307692307692,0.139678792431234,279.5,0,3306.7,0,1397.85,0.00345,195.25,0.001725,"NMT2",2
"NMU",6271.5,-8667.8,24.8369441277081,0.0311626763239666,263.1,0,6534.6,0,8946.6,0,278.8,0,"NMU",1
"NMUR1",181.4,-177.2,2.80677290836653,0.381284916201117,100.4,0.93103,281.8,0.35862,286.4,0.73793,109.2,0.97241,"NMUR1",1
"NMUR2",159.7,-456.1,2.44394213381555,0.239833333333333,110.6,0.43103,270.3,0.58621,600,0,143.9,0.0931,"NMUR2",1
"NNAT",128.35,-209.05,2.05812036273702,0.388921368021046,121.3,0.43793,249.65,0.917245,342.1,0.46724,133.05,0.28793,"NNAT",2
"NNMT",364.7,-14427.2,3.24154886293792,0.225588972565607,162.7,0,527.4,0,18629.9,0,4202.7,0,"NNMT",1
"NNT",2369.05,-6996.525,10.6725528222925,0.122472720431456,244.925,0.068105,2613.975,0.001725,7973,0,976.475,0.02069,"NNT",4
"NOB1",6084.2,-7667.6,8.19002599858189,0.28559183064997,846.2,0,6930.4,0,10732.8,0,3065.2,0,"NOB1",1
"NOBOX",161.1,-194.7,2.5871921182266,0.381315538608198,101.5,0.88793,262.6,0.67069,314.7,0.305175,120,0.67759,"NOBOX",2
"NOC2L",6009.3,-6957,12.0975069252078,0.100034927493112,541.5,0,6550.8,0,7730.3,0,773.3,0,"NOC2L",1
"NOC3L",6940.5,-9042.8,10.4210669200489,0.104371768714221,736.7,0,7677.2,0,10096.6,0,1053.8,0,"NOC3L",1
"NOC4L",1674.2,-4737.6,9.86993377483444,0.109373237583186,188.75,0,1862.95,0,5319.4,0,581.8,0,"NOC4L",2
"NOD1",1833.9,-3731.5,15.0744435917114,0.0599098077746706,130.3,0.00345,1964.2,0,3969.3,0,237.8,0,"NOD1",1
"NOD2",893.2,-1211.1,3.27161749745677,0.253605324787378,393.2,0,1286.4,0,1622.6,0,411.5,0,"NOD2",1
"NOD3",151.2,-184,2.29452054794521,0.38971807628524,116.8,0.15172,268,0.61379,301.5,0.49655,117.5,0.78621,"NOD3",1
"NODAL",144.8,-201.5,2.189811010682,0.357666560408033,121.7,0.03448,266.5,0.65172,313.7,0.32414,112.2,0.94138,"NODAL",1
"NOG",8465.2,-6638.2,5.03931860476213,0.248579384664146,2095.7,0,10560.9,0,8834.2,0,2196,0,"NOG",1
"NOL10",2257.5,-1451.4,21.2830188679245,0.0949678867618632,111.3,0.39655,2368.8,0,1603.7,0,152.3,0.04138,"NOL10",1
"NOL11",11802.6,-9211.8,3.80840432113454,0.316946211683054,4202.6,0,16005.2,0,13486.2,0,4274.4,0,"NOL11",1
"NOL12",391.1,-2476.7,3.36028968014484,0.101701062710819,165.7,0,556.8,0,2757.1,0,280.4,0,"NOL12",1
"NOL3",3416.75,-4777.8,4.26930437278729,0.426351935452886,1045.1,0,4461.85,0,8328.8,0,3551,0,"NOL3",2
"NOL4",136.8,-188.2,2.28511038046031,0.398625978590829,106.45,0.668965,243.25,0.96552,312.95,0.327585,124.75,0.501725,"NOL4",2
"NOL6",6275.75,-8499.55,6.46311207834603,0.270142973680821,1148.75,0,7424.5,0,11645.5,0,3145.95,0,"NOL6",2
"NOL7",24214.8,-20553.8,2.83506623419928,0.479911335583682,13195.6,0,37410.4,0,39519.8,0,18966,0,"NOL7",1
"NOL8",6906.4,-9099,9.20042745191166,0.150297195205655,842.2,0,7748.6,0,10708.45,0,1609.45,0,"NOL8",2
"NOL9",5138.7,-6553.9,16.3669258373206,0.148855209672602,334.4,0,5473.1,0,7700.1,0,1146.2,0,"NOL9",1
"NOLA1",6722.7,-7924.6,20.8955312222551,0.0792629083980109,337.9,0,7060.6,0,8606.8,0,682.2,0,"NOLA1",1
