"GSM4027437","GSM4027439","GSM4027441","GSM4027442","GSM4027444","GSM4027446","Symbol"
-1.5,-3.2,4.4,5.2,-4.8,-3,"ADAM33"
10.5,-0.4,-6.7,-4.6,13.5,5.1,"TMEM191B"
-6.4,-17.5,-12.1,-10.5,6,2.8,"LOC643899"
41.7,28.2,0.9,3.4,26.7,15.1,"SDHALP1"
-3.3,-4.8,6.6,-1.2,20.7,-3.7,"LOC646717"
25537.7,26443.4,27541.1,26294.4,18514.4,22339.7,"LOC649150"
-6.6,6.1,4.7,13.6,-4.7,9.9,"WDFY3"
35.1,38,139.3,87.1,22,28.2,"KIAA0586"
-2.3,-0.1,3.5,-17.5,0.4,-0.6,"C8ORFK32"
12.2,-6,4.1,9.2,16.5,-4.4,"PGBD4"
72.3,61.5,25.7,37.7,204.6,227.8,"STK10"
4,4.3,8.6,9.3,24,19.4,"GSG1"
2226.1,2286,151.6,148.1,159.1,170.7,"EPS8"
732.2,672.9,506.4,584.5,179.1,144.4,"CAT"
8.8,-8.1,5.1,-13.7,7.1,-11.3,"RESP18"
-10.1,-11.6,-17.7,1.9,-3.7,23.3,"IQCD"
-1,20.7,-5.7,9.7,-11.6,-9.1,"LOC728005"
33.8,32.7,6.7,24.5,11.4,4.9,"RBM11"
2.2,22,0.4,-10.5,7.3,-5.9,"RNF2"
-8.5,-9.4,0.9,-12.6,-19,8.3,"ADAMTS20"
655.5,698.6,1649.1,1544.6,1090.2,1066.4,"MBTPS1"
-19.3,-4.7,-5.4,-15.2,-16.4,-8.4,"LOC648473"
940.2,869,1355.9,1088.8,441.3,430.8,"TGOLN2"
2.4,-9.7,-9.8,-3.1,-4.6,24.5,"LOC644689"
1.7,23.6,11.1,6.2,9.7,13.4,"ARMCX3"
-4.6,-9.9,19.7,12.1,-0.6,31.9,"TMEM25"
20.8,15.3,17.1,11.3,54.3,28.9,"CXorf21"
0.8,-7.8,12.7,-9.1,2.2,7.4,"LOC645643"
2.6,20.5,-10.1,19.1,-27.2,-12.2,"LOC646537"
-18,-7.9,-3.8,-18.3,-9.7,2.8,"TFDP3"
-8.3,-5.3,56.3,48.5,65.8,58.7,"MKL1"
27.1,75.7,76.5,69.8,-0.7,-5.8,"ZFYVE16"
7.9,1.2,15.1,-13.9,14.4,-3.1,"RRAGB"
82.6,71.7,264.4,333.5,463.9,407.7,"FHOD1"
0.2,1.7,3.3,3.4,7.4,1.1,"MSH5"
163.8,172,183.6,179.2,621.4,563.3,"MAP3K11"
-1.9,27.1,-14.7,-11.4,4.9,-15.7,"VCX2"
-13.5,-7.9,-0.6,13.6,-16.6,0.7,"RORC"
1249.6,1442.3,939,653.3,38.4,27,"SLC38A2"
129.3,148.8,106.8,119.3,253.8,225.7,"GSTM4"
-4.6,-5.4,-9.7,2.9,3.2,4.6,"LOC653801"
-1.6,7.6,0.6,0.9,-1.9,5.9,"LOC729269"
11.9,-14.2,-8.7,-3.7,22.4,-0.3,"GRIK1"
648,711.9,697.1,728.2,870.9,823.2,"GALNT11"
24.1,6.9,28,16.9,38.4,12.8,"BASP1"
3300.3,2779.9,1389.9,1611.6,3712.7,3863.1,"CCT3"
927.9,1028,1620.5,1141.3,1762.7,1805.2,"EHD1"
9.7,8.2,-9.5,-15.5,2.9,16.1,"RND1"
-15.9,-18.4,-6.7,-6.4,-0.9,1.1,"LOC400954"
11.4,5.9,-16.3,-2.4,14.2,18,"ITSN1"
22141.8,21926,23749.5,22977.5,21163.9,22111,"RPS16"
-15.9,-10.7,22.8,6.9,9.3,17.4,"KIAA1257"
412.4,356,513.6,513.4,1219.2,1104.6,"UBIAD1"
-10.4,3.1,-2.9,-5.1,-16.9,15,"EVC"
1499,1436.8,1173.6,1113,1716.5,1565.7,"CWF19L1"
26443.4,25015.5,22141.8,21737.7,24127.3,23479.8,"LOC653314"
17.3,10.1,0.7,3.7,-9.8,12.6,"KCNA4"
532.7,557.6,61.9,55.7,970.3,880,"RASL11A"
-0.7,2.8,3.9,7.5,2.1,29.3,"LOC645669"
-15.1,-8.2,-14,-8.9,-13,-11.3,"ZNF187"
-9.5,9.7,-9.6,10.7,0.9,-5.3,"LOC651357"
10.8,8.5,10,4.5,20.3,6.2,"OCLN"
517.9,568.5,458,477,933.1,779.7,"SETD8"
6.2,1.7,-5.6,8.1,16.5,6.1,"LOC649652"
-13.7,-23.9,-12.5,-11.7,16,-11.7,"OR6C76"
18.5,16.9,-4,8.9,17.8,-4.4,"ANK3"
-9,-2.3,4.8,20,25.5,-4.7,"CTNND1"
32.7,33.6,32.6,64.9,15.8,-3.5,"SCYL3"
292.7,332.3,141.3,140,450.6,453.7,"TPST1"
15.3,8,7.5,-2.3,38.6,22.7,"MGP"
71.1,63,100.3,58.7,129.4,117.2,"ABCC5"
33.8,25,23.5,15.4,17.9,66.5,"FGFR3"
24.2,24.8,9.4,30,7.9,9.5,"TP53I3"
21.1,8.6,2.7,2,38.2,-2.5,"LOC283767"
-14.2,5.1,-11.6,-12.4,23,17.1,"LOC653648"
307.3,328.2,323.2,493.8,957.3,934.2,"C6orf129"
40.2,58.1,53.7,58.7,54.5,72.8,"FAM156A"
225.2,156.5,329.6,285.3,64.3,89.8,"GNG10"
4.9,5.3,55.7,1.5,8.1,11.7,"SMC1A"
941.8,969.6,839.4,672.2,344.4,399.6,"C15orf23"
3.9,22.7,-5.7,33,8.7,9.9,"LOC647451"
-5.9,-6.2,-13.3,-10.5,-17,0.9,"PPEF1"
-12,-4.5,-3.2,5.6,-1,-7.5,"DHX57"
-11.7,18,-5.9,24.3,8.8,28.9,"AGFG2"
129.9,160.9,135.4,148.8,-19.1,19.9,"CSNK1G3"
-2.1,-8.8,51.2,-14.3,-5.5,-0.5,"UPP2"
-2.6,-14.7,20.5,-7,-9.7,-10.5,"TTN"
-5.4,-5.3,-9.7,-8.2,16.9,10.6,"KCNMB1"
-14,-9.4,6.4,42,-9,-16,"SNED1"
3.9,-5.4,1.1,3.7,12.7,-2,"MGC42105"
19473,17586.9,12312.8,12566.7,17550.6,17793.9,"LOC653658"
0.8,-17.9,-6.9,-2.5,-9.3,-4.6,"LOC641846"
-4.8,9.6,-13.5,4.5,-9.2,33,"LOC644003"
207.7,233,320.7,291.6,641.4,607.2,"ELF4"
1183.5,1174.6,1363.1,1532.9,79.5,118.4,"MPHOSPH10"
-14.4,-9.7,-11.3,-10.2,-10.5,-10.2,"PAPOLB"
-1.4,-11,13.4,-1.5,-3.4,-21.6,"LOC388578"
-11.5,-15.5,-11.8,-6.6,4.5,-9.7,"KRAS"
6.5,2.1,-19.7,-1,-5.7,21.7,"DDX12"
3.9,-0.2,5,-2.6,-10.6,-5.8,"LOC641989"
7206.9,6843.6,11639.7,9526.6,3549.9,3892.1,"HMGN1"
984,1080.9,1110.4,1137,298.2,363.4,"LMBRD1"
13.5,-10.9,6.3,-0.1,-8.7,38.2,"LOC649945"
-13.9,1.3,-13,-12.6,-7.2,-9.9,"PPYR1"
17.2,8.1,6.5,-7.5,3.7,7,"LOC653751"
18.4,28.9,7.8,14.3,44.2,35.9,"MRPL43"
11.6,6.8,20.1,1.6,-1.9,-1.9,"LOC644829"
14.7,1.5,15.1,7.1,3.8,-9.5,"DHX9"
96.1,84,105.4,110.7,176.9,130.9,"LRBA"
20.9,2.5,11.2,6.6,16,-0.4,"PNKD"
212.2,196.6,150.6,189.7,411.6,407.3,"DVL2"
21.1,12.7,11.9,10.6,27.1,22.2,"LOC729196"
-5.5,1.1,-17.9,-10.4,33.2,-13.3,"GUCY1B2"
-5.7,-5.4,-2.8,-4,-3.1,23.4,"LOC649159"
2.3,9.6,-4.1,-8.6,-4.8,-8.3,"CDKN2C"
-3.3,3,-10.8,-7.8,-0.4,-2.4,"KRTAP9-8"
1.8,-4.5,21.4,-2.4,32.2,-7.7,"FLJ41733"
-12.9,2,12.7,25,8.3,8.5,"KIF2B"
215.2,226.5,116,123,506,484.4,"IL4R"
11.4,2.5,26.7,2.6,-9.6,-8.3,"KIAA1632"
-4.9,-5.4,-8,-1.1,0.4,-11,"CTAG1A"
