ID_REF	MiaPACA2_EV	MiaPACA2_EV.Detection_Pval	MiaPACA2_ARHGEF10	MiaPACA2_ARHGEF10.Detection_Pval	Hs766T_shGFP	Hs766T_shGFP.Detection_Pval	Hs766T_shARHGEF10	Hs766T_shARHGEF10.Detection_Pval	
ILMN_2223922	977.7	0	7246.6	0	5566.4	0	899.8	0	
ILMN_1702635	3138.8	0	11457.7	0	14819.2	0	6199.5	0	
ILMN_1729105	98.8	0.95862	241.7	0.96897	267.5	0.93448	109	0.97241	
ILMN_1708064	2525.7	0	14721	0	14569.5	0	2513.8	0	
ILMN_1663453	170.2	0	4443.1	0	4957.2	0	200.5	0.00345	
ILMN_2055165	3889.3	0	25515.3	0	28089.4	0	4412.4	0	
ILMN_2391959	133.9	0	450.6	0	1069.3	0	217.3	0	
ILMN_2134176	4411.6	0	17245.1	0	14262.9	0	3625.8	0	
ILMN_3241451	109.3	0.51379	386.7	0.00345	3801.8	0	235.6	0	
ILMN_1731184	217.8	0	3172.3	0	3363.3	0	248.8	0	
ILMN_1775965	133.7	0	1982.9	0	2578.1	0	169.3	0.01379	
ILMN_3309990	111	0.40345	276.7	0.47586	300.4	0.52414	126.9	0.43448	
ILMN_1685357	105.3	0.75517	321.2	0.02414	387.5	0.01379	128.9	0.35862	
ILMN_2195138	106.7	0.68276	313.3	0.06897	317.8	0.27241	126.1	0.45517	
ILMN_2263086	123.2	0.02414	307.1	0.11034	350.5	0.07241	132.7	0.28966	
ILMN_1691048	173.3	0	459.7	0	525.8	0.0069	141.8	0.12069	
ILMN_2352580	779.5	0	6579.8	0	6505.5	0	1463.5	0	
ILMN_2331735	1372	0	13254.6	0	18242.2	0	3638	0	
ILMN_2041368	15671.5	0	31017.9	0	31480.4	0	21322.9	0	
ILMN_2132898	127.2	0.01034	339.2	0.01379	363.8	0.03448	127.2	0.41724	
ILMN_1692207	115.9	0.15862	271.1	0.57241	290.5	0.67241	127.7	0.38966	
ILMN_1769290	1624.1	0	11552.2	0	9351.1	0	1150.4	0	
ILMN_2128741	290.7	0	2058.5	0	1887.1	0	291.1	0	
ILMN_1702738	186	0	1170	0	574.1	0.00345	154.4	0.02759	
ILMN_2247084	145	0	894.4	0	706.3	0	275.7	0	
ILMN_1795255	103.7	0.81724	265.9	0.65862	503.6	0.0069	118.1	0.75517	
ILMN_2201533	648.1	0	16692.8	0	7943.2	0	410.4	0	
ILMN_2191822	2336.3	0	11489.1	0	11207	0	3832.1	0	
ILMN_1652008	1816.7	0	12737.4	0	14002.4	0	1436.5	0	
ILMN_2095571	121.9	0.03103	276.5	0.47931	334.1	0.14828	123.2	0.55517	
ILMN_1745991	149.2	0	2034.2	0	2630.4	0	227	0	
ILMN_2318481	147.6	0	1084.5	0	2003.4	0	240.1	0	
ILMN_1680465	4815.6	0	12735.8	0	10243.3	0	2796.4	0	
ILMN_1725680	161.6	0	896.6	0	2004.2	0	233.7	0	
ILMN_2090004	100.4	0.93103	252.3	0.92414	669.8	0	172.7	0.0069	
ILMN_1676523	1097.8	0	6091.5	0	6168	0	867.7	0	
ILMN_1766309	752.1	0	5163	0	7937.2	0	3255.6	0	
