"GSM1583284","GSM1583285","GSM1583286","GSM1583287","GSM1583288","GENE_SYMBOL"
10.39849,10.43984,10.94828,10.574844,10.774857,"LLPH"
7.5516434,7.152352,8.03104,7.2174544,8.262823,"TATDN1"
4.329977,3.1385338,4.1635365,3.3413565,4.6259184,"SLC4A10"
2.6244087,3.427503,3.2395463,2.4029229,2.8678083,"ARID4B"
3.9552498,4.8228736,3.8246531,4.05495,3.6703231,"TRAF3IP2"
7.3042192,6.946764,7.702008,5.900913,8.70857,"HOPX"
3.9895542,3.7471118,3.6996171,2.4029229,3.7099907,"SERPINB10"
7.949643,7.545158,8.263356,7.7309766,8.572302,"MAP4K5"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"GK2"
6.6585336,6.411162,8.891712,4.729683,9.3854065,"KLRD1"
2.332352,3.2998085,3.1034386,2.4029229,2.3246098,"ZFYVE9"
3.589199,4.4077563,3.6442933,2.4029229,3.850564,"OR10C1"
9.844011,9.086022,10.087838,9.858579,10.191103,"JKAMP"
7.518031,7.7658434,6.928298,7.5256505,6.714379,"C3orf39"
8.604831,9.317363,9.879875,9.182934,9.400763,"KIFC1"
6.943465,6.6461873,7.356068,6.7787,7.3810487,"RCE1"
3.0091567,3.0994794,2.5990806,2.4029229,2.9447546,"MAP3K13"
3.4237356,3.6614494,3.204947,3.0186946,2.3246098,"LOC100129781"
7.9901276,7.827291,8.093863,8.743622,7.9401937,"IQSEC3"
11.414545,10.998954,12.153756,10.570841,11.846359,"TM7SF3"
8.257982,7.7299976,7.8362994,8.699905,7.690446,"LOC440313"
5.325286,5.025379,4.87195,6.86796,4.0813446,"TAS2R31"
8.016386,9.160643,7.5595455,8.03764,6.5518904,"PKDCC"
6.946764,6.5969014,6.1052547,7.1751137,6.6633463,"C7orf13"
2.332352,3.5530622,3.4160953,2.4029229,2.505152,"CCDC158"
12.110521,11.796101,12.644517,11.268806,12.822571,"LSM6"
2.332352,2.3459494,2.322009,2.4029229,2.8008497,"FRY"
5.436164,2.3459494,2.322009,3.1073663,2.3246098,"GABRQ"
11.226122,10.985785,11.531497,10.9568405,11.346344,"NDUFAF4"
8.911396,8.158128,10.007482,8.408649,10.20132,"ERCC6"
7.4100842,7.2302637,6.764273,7.7810235,7.5559397,"CCDC57"
3.351261,2.3459494,2.7784157,3.8610907,2.862776,"NRAP"
12.668043,12.959457,12.045587,12.971938,11.643432,"BRI3"
3.490314,2.3459494,2.6956966,2.4029229,2.3246098,"RBP7"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"ELMOD1"
8.963121,9.217799,9.294958,8.557642,9.113101,"AGXT2L2"
7.2081327,7.0789638,7.6778283,6.7556686,7.980398,"PHF20"
2.7833533,2.3459494,2.552867,3.0769565,2.7251084,"NPFFR2"
4.285052,4.1052556,5.3095803,4.956209,4.2671094,"PARP4"
3.1111007,3.4923189,2.9790478,4.1993165,3.4643095,"MRAP"
8.1309395,7.6363354,8.535185,7.494134,8.867593,"EPC2"
2.332352,2.3459494,2.322009,2.4029229,2.636631,"C8orf86"
13.877435,13.466982,14.4038105,13.097139,13.843942,"RAC2"
10.58695,10.39654,10.646465,10.444928,10.96401,"WDHD1"
12.360081,12.378079,12.881172,11.960515,12.931918,"PPA1"
6.3097124,6.0159807,6.406219,6.228344,6.4250665,"PASK"
6.980008,7.6124783,6.680176,7.498098,5.155138,"PVR"
9.066921,9.34707,8.854189,9.065158,8.876334,"MUL1"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"PPP1R3A"
2.332352,2.3459494,2.322009,2.4029229,2.7802727,"TXNRD3NB"
8.919582,9.429,8.332628,8.727921,8.176503,"PPP1CC"
2.794365,2.8743248,2.3776665,2.4029229,2.3246098,"NUDT10"
3.8145108,3.229903,2.84146,2.4029229,2.9886758,"LCE2D"
9.5842,9.373794,9.950819,9.097872,10.318943,"CCDC115"
7.202619,7.046756,8.635762,8.4029455,6.753629,"IL34"
2.8043323,2.3459494,2.3411362,2.4029229,2.3246098,"RGMA"
4.0812445,3.80474,2.522958,2.4029229,2.3246098,"AKNA"
8.275505,9.275871,7.289308,9.160643,6.775265,"PCBP2"
9.459053,9.631884,9.35162,9.821917,9.020054,"GABARAPL2"
2.572175,2.3459494,2.322009,2.4029229,2.3246098,"DCC"
5.925455,6.438567,6.1861396,4.47143,6.891033,"CHD9"
7.552317,7.970016,6.5550523,7.079821,6.3430095,"PTOV1"
5.33592,4.7757998,5.133458,5.4316335,5.387126,"SIGLEC9"
9.863984,9.915551,9.433666,9.00054,9.322913,"LETMD1"
7.1412215,7.2006693,6.923815,7.2374053,6.882271,"ZNF512B"
9.913072,9.572751,10.18637,9.344898,9.837858,"UTP18"
2.332352,4.5144153,3.5979197,2.4029229,3.9568827,"NEDD9"
10.125339,9.7505455,10.344477,9.182781,10.5946865,"LSG1"
4.0738125,3.6915588,4.6527653,2.4029229,5.1541915,"QRSL1"
6.171462,5.900913,5.9835525,6.281519,2.3246098,"GJA8"
6.2654223,5.70392,6.0713964,4.789167,6.6124434,"OVGP1"
3.5594013,2.8403392,2.72793,3.2590117,3.9353824,"ALLC"
7.730474,8.761877,7.5238633,8.527417,7.115234,"SCD"
10.801071,10.440333,11.579952,9.830703,11.432617,"DPH3"
3.371307,2.3459494,2.322009,2.4029229,3.132611,"BLID"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"NCOA2"
5.532629,5.599253,5.4760633,5.7810583,6.2003627,"FCGR3A"
10.855989,10.930429,10.57211,9.961656,10.92367,"FBXW11"
6.954048,6.5263352,7.869317,6.0446615,7.3651366,"SEPT7P2"
4.210471,4.199863,5.195378,3.6712546,5.0531116,"TP53RK"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"FAM171B"
11.780024,11.6126,11.8331785,10.738523,11.637603,"GDI1"
2.8053627,2.988237,2.322009,2.4029229,2.8745346,"ATP13A4"
4.663918,4.8850856,5.564168,4.8852763,5.371486,"SMYD3"
13.830225,13.882197,14.118232,13.429508,13.500435,"C11orf31"
9.764375,9.711137,9.371043,9.625076,9.545416,"KCNH2"
3.446446,2.3459494,2.322009,3.7492228,2.3246098,"MGC2889"
5.1601596,4.7958927,4.7557755,5.728777,5.050733,"LOC400891"
6.520083,5.982121,5.8215833,7.0612187,6.314983,"C2orf66"
5.3756747,4.844308,6.043851,4.633802,6.9089394,"C18orf54"
2.7864766,2.6740294,2.5134206,3.8556962,2.953355,"MIA2"
2.5681832,2.3459494,2.322009,2.4029229,2.3246098,"GPR110"
3.91702,3.9921339,5.5252867,4.175903,5.1032004,"OSCP1"
10.188196,9.99555,10.555047,9.51684,10.319523,"GTF2A2"
7.3046746,6.936573,8.729215,6.104633,8.313756,"NRG2"
8.156616,8.1586895,7.9774494,7.779604,8.198012,"XRCC6BP1"
5.0197363,5.539477,4.5976086,5.0264277,3.7416663,"FAIM3"
10.192161,10.314575,10.6994,10.112305,10.389659,"TRIML2"
7.613044,6.859422,8.362347,8.477886,10.176307,"HP"
4.1180234,5.08946,5.4516788,4.804224,4.5487986,"NCAM2"
8.736614,8.989754,7.6363354,9.127899,8.212374,"RUSC2"
11.056225,10.873047,11.59058,10.601862,11.567086,"PLEKHM1"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"WDR78"
11.315389,11.123328,10.982687,12.494382,10.75756,"NOL6"
9.228707,9.148533,9.652617,8.6626625,9.521816,"RPAP3"
10.206759,10.2551155,9.785347,9.801742,9.830326,"MRPL12"
7.483097,6.837331,8.416819,7.338093,8.785821,"TRNAU1AP"
8.883678,8.700515,9.294463,8.624778,8.9821205,"GUSBP1"
7.5035048,7.0232186,6.376462,7.5607657,5.5063567,"OR52K2"
2.332352,2.3459494,2.322009,2.4029229,2.3246098,"DLGAP1"
7.877332,7.607218,7.957734,7.5822783,8.246658,"RNFT2"
7.6494617,8.973315,7.53671,8.167437,7.026605,"AHCY"
3.340796,4.1193347,3.9210956,2.4029229,3.8429852,"NCOR1"
3.5756598,5.520491,3.496845,4.289381,3.5086753,"ABCB9"
6.50805,7.9607515,6.0972395,7.269952,5.076779,"TOMM40"
13.965133,13.728681,14.522785,13.939476,13.810646,"ND5"
4.9774175,5.4253144,5.3851604,4.5187063,4.202129,"PRKAB1"
3.8836105,4.8801975,4.207372,4.097167,5.575822,"TYW3"
10.019931,10.109156,9.982859,10.161699,9.792708,"NDUFAF2"
2.332352,2.3459494,2.9368773,3.2558148,2.3246098,"CCL22"
2.8116555,3.2119396,4.3890066,3.5372436,5.1898756,"TMEM168"
3.1255746,5.2396765,4.285052,5.3569803,3.020802,"RAPGEF4"
11.339667,11.083848,11.88325,10.902132,11.667803,"PSEN2"
2.5598853,2.8101242,2.8011303,2.4029229,3.632357,"C1orf70"
12.165635,12.354567,11.733058,12.380491,11.665341,"FAM131C"
13.114131,13.348614,12.515246,13.342755,12.667322,"TCIRG1"
2.332352,3.4566858,2.6148915,4.208106,2.3246098,"PDE4DIP"
4.305248,3.0815365,3.5869553,2.4029229,2.794365,"PCYT1B"
16.301445,16.375557,16.429134,16.462866,15.555396,"RPS25"
9.462119,9.837614,8.984709,10.260087,8.890687,"CACYBP"
3.7090168,2.676824,3.8123286,3.5298345,3.151799,"LHCGR"
3.7165353,3.5705307,3.3256187,4.502878,3.6397593,"RTKN2"
2.500241,2.7217517,2.3880992,3.5941024,2.7665277,"TRIM55"
4.1694593,4.9549475,4.511372,4.920358,4.5702496,"HBBP1"
7.6636596,8.486364,7.013173,7.112421,6.9921103,"ALKBH5"
5.0881596,5.1607823,5.9340553,5.038714,6.434165,"RG9MTD3"
5.1967525,4.7738295,4.2137833,5.4847155,4.847154,"DNAH2"
8.967332,4.057441,4.864722,4.232048,4.142687,"DNAH12"
9.228349,9.047136,8.560298,9.189973,9.142763,"RHOBTB2"
2.332352,2.5990806,2.322009,2.4029229,2.3246098,"CPO"
2.5557406,3.1456783,2.7558334,3.1689963,3.4628665,"DIDO1"
