"Gene","BRCNCR_CTRL_Mean","BRCNCR_SH3GL2_Mean","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr","colon_cncr_ctrl_Mean","colon_cncr_LGR51_loss_Mean","colon_cncr_LGR52_loss_Mean","Stomach_Cancer_Blood_Mean","Stomach_Blood_Ctrl_Mean"
"ABCA4",4.82,4.85,7.41071428571429,12.1990196078431,5.90514,5.71849,5.0968,3.490365,142.4,429.7,-505.8,4.01755617977528,0.205341712490181,6.05,2.05,-1.25,2.513073575,2.8135676
"ABCA8",6.72333333333333,6.43,57.9342857142857,178.402614379085,7.55489333333333,8.09135333333333,2.5009,2.593155,186.1,731.6,-226.05,4.93121977431488,0.391357027463651,9.975,4.7,0.15,2.633663625,3.5320487
"ABCA8",6.72333333333333,6.43,57.9342857142857,178.402614379085,7.55489333333333,8.09135333333333,2.5009,2.593155,186.1,731.6,-226.05,4.93121977431488,0.391357027463651,9.975,4.7,0.15,2.633663625,3.5320487
"ABCA8",6.72333333333333,6.43,57.9342857142857,178.402614379085,7.55489333333333,8.09135333333333,2.5009,2.593155,186.1,731.6,-226.05,4.93121977431488,0.391357027463651,9.975,4.7,0.15,2.633663625,3.5320487
"ABCA8",6.72333333333333,6.43,57.9342857142857,178.402614379085,7.55489333333333,8.09135333333333,2.5009,2.593155,186.1,731.6,-226.05,4.93121977431488,0.391357027463651,9.975,4.7,0.15,2.633663625,3.5320487
"ABCB1",4.32666666666667,4.07666666666667,60.5264285714286,105.692156862745,6.31004666666667,6.01419666666667,4.048,3.575997,113.5,194.1,-199.75,2.71013215859031,0.38717594723117,282.1,326.75,37.175,3.415379225,4.050846
"ABCB11",3.72333333333333,3.85333333333333,6.45,7.38529411764706,5.24351,5.03057666666667,2.9373,3.154883,113.4,171.3,-177.2,2.51058201058201,0.395840436413229,-7.8,7.85,10.55,3.41042775,3.78922
"ABCB11",3.72333333333333,3.85333333333333,6.45,7.38529411764706,5.24351,5.03057666666667,2.9373,3.154883,113.4,171.3,-177.2,2.51058201058201,0.395840436413229,-7.8,7.85,10.55,3.41042775,3.78922
"ABCB7",9.80333333333333,9.78666666666667,201.71,206.864705882353,9.91155666666667,10.02386,8.1393,8.068477,457.7,6678.5,-6957.5,15.5914354380599,0.0634296714095333,523.1,280.55,55.95,9.691659,9.506983
"ABCC10",8.71,8.62666666666667,190.353571428571,158.699019607843,8.29492666666667,8.25121,6.7039,6.479321,473.2,2187.7,-4378.5,5.62320371935757,0.177051029038624,17.8,50.2,85.7,7.491926275,6.985807
"ABCC10",8.71,8.62666666666667,190.353571428571,158.699019607843,8.29492666666667,8.25121,6.7039,6.479321,473.2,2187.7,-4378.5,5.62320371935757,0.177051029038624,17.8,50.2,85.7,7.491926275,6.985807
"ABCC10",8.71,8.62666666666667,190.353571428571,158.699019607843,8.29492666666667,8.25121,6.7039,6.479321,473.2,2187.7,-4378.5,5.62320371935757,0.177051029038624,17.8,50.2,85.7,7.491926275,6.985807
"ABCC2",6.38,5.5,5.63857142857143,9.06960784313726,6.32183666666667,6.06834333333333,4.2543,4.28174,180.3,4086.3,-683.8,23.6638935108153,0.149290868375218,21.35,4.7,1,3.8000199,4.4944396
"ABCC3",8.03333333333333,8.14333333333333,23.5137142857143,21.8449019607843,6.62951,6.35367666666667,9.0062,10.139143,169.9,762.6,-4206.3,5.48852266038846,0.0400301252938357,269.4,235.5,354.75,8.36204735,6.8236833
"ABCC4",9.60333333333333,9.57666666666667,32.7030952380952,48.2841503267974,9.19074333333333,9.16507666666667,5.3198,5.304616,648.6,3821.4,-3526.95,6.89176688251619,0.114221133923526,337.35,529,1.725,4.745593675,6.5631948
"ABCC5",7.81333333333333,8.01,160.12119047619,163.313725490196,8.56172666666667,8.88660666666667,8.7066,8.358335,515.733333333333,6784.9,-7060.26666666667,14.1558298862461,0.110102767064122,50.1666666666667,115.433333333333,85.8,9.68030825,10.076643
"ABCC8",6.00333333333333,6.03,14.6614285714286,27.0254901960784,7.20981,7.28624333333333,4.3412,4.553233,116.3,1088.3,-150,10.3576956147893,0.45414847161572,-8.8,-20.9,-5.85,3.703787225,2.3246098
"ABCC8",6.00333333333333,6.03,14.6614285714286,27.0254901960784,7.20981,7.28624333333333,4.3412,4.553233,116.3,1088.3,-150,10.3576956147893,0.45414847161572,-8.8,-20.9,-5.85,3.703787225,2.3246098
"ABCC8",6.00333333333333,6.03,14.6614285714286,27.0254901960784,7.20981,7.28624333333333,4.3412,4.553233,116.3,1088.3,-150,10.3576956147893,0.45414847161572,-8.8,-20.9,-5.85,3.703787225,2.3246098
"ABCC9",4.56,4.58666666666667,55.7882857142857,63.5671895424837,4.94345,4.88101,3.3128,3.102988,121.933333333333,180.333333333333,-261.233333333333,2.47895024603609,0.341040948457076,8.66666666666667,4.68333333333333,30.5166666666667,2.59073348333333,2.3246098
"ABCC9",4.56,4.58666666666667,55.7882857142857,63.5671895424837,4.94345,4.88101,3.3128,3.102988,121.933333333333,180.333333333333,-261.233333333333,2.47895024603609,0.341040948457076,8.66666666666667,4.68333333333333,30.5166666666667,2.59073348333333,2.3246098
"ABCC9",4.56,4.58666666666667,55.7882857142857,63.5671895424837,4.94345,4.88101,3.3128,3.102988,121.933333333333,180.333333333333,-261.233333333333,2.47895024603609,0.341040948457076,8.66666666666667,4.68333333333333,30.5166666666667,2.59073348333333,2.3246098
"ABCD1",6.56666666666667,6.50666666666667,133.488571428571,148.019607843137,8.09296333333333,8.09849333333333,6.8853,6.238677,390.2,2324.8,-6666.7,6.95797027165556,0.268962114150995,-3,6.55,10.9,6.46573753333333,3.0701828
"ABCD1",6.56666666666667,6.50666666666667,133.488571428571,148.019607843137,8.09296333333333,8.09849333333333,6.8853,6.238677,390.2,2324.8,-6666.7,6.95797027165556,0.268962114150995,-3,6.55,10.9,6.46573753333333,7.059688
