"","GENE_SYMBOL","UL_mean","nonUL_mean","DE_UL","Magnitude","FoldChange_UL"
"RPLP2","RPLP2",8406.34,9139.76568627451,-733.42568627451,733.42568627451,0.919754432285292
"ST5","ST5",2130.26,1399.46470588235,730.795294117647,730.795294117647,1.52219630194739
"PLN","PLN",1785.84071428571,2515.76339869281,-729.922684407097,729.922684407097,0.709860360959871
"MDH1","MDH1",2509.83,1783.14509803922,726.684901960784,726.684901960784,1.40752987671046
"IFI27","IFI27",976.365714285714,1701.98823529412,-725.622521008403,725.622521008403,0.573661846797072
"ALDH1A1","ALDH1A1",171.275714285714,895.586274509804,-724.31056022409,724.31056022409,0.191244237613469
"DPT","DPT",130.571428571429,849.499019607843,-718.927591036415,718.927591036415,0.153704036800072
"ATP1B1","ATP1B1",1839.24428571429,2557.44411764706,-718.199831932773,718.199831932773,0.719172815164564
"HLA-E","HLA-E",1860.66142857143,2577.38235294118,-716.720924369749,716.720924369749,0.721919053433471
"MAOB","MAOB",764.513333333333,1479.62614379085,-715.112810457516,715.112810457516,0.516693582728016
"RNH1","RNH1",884.09880952381,1597.63202614379,-713.533216619983,713.533216619983,0.553380750420835
"GSTM2","GSTM2",1283.89428571429,570.656862745098,713.237422969188,713.237422969188,2.24985340496603
"EEF1A1","EEF1A1",11176.1576190476,11887.2663398693,-711.108720821663,711.108720821663,0.940178952797863
"ATP5G2","ATP5G2",1348.81785714286,2058.78137254902,-709.963515406163,709.963515406163,0.655153517089025
"GSTM1","GSTM1",1113.22928571429,403.507843137255,709.721442577031,709.721442577031,2.75887892800047
"SERPINH1","SERPINH1",1568.61571428571,859.88431372549,708.731400560224,708.731400560224,1.82421715252556
"PFDN5","PFDN5",3089.09285714286,3794.01862745098,-704.925770308123,704.925770308123,0.814200761902499
"GNG11","GNG11",766.702857142857,1470.07549019608,-703.372633053221,703.372633053221,0.521539786395999
"RPL31","RPL31",5912.69892857143,6615.78120915033,-703.082280578898,703.082280578898,0.893726491497865
"EMP1","EMP1",237.252380952381,939.743790849673,-702.491409897292,702.491409897292,0.252464962538213
"HSPB2","HSPB2",444.858571428571,1140.57450980392,-695.71593837535,695.71593837535,0.390030258965763
"MFAP2","MFAP2",955.31,260.878431372549,694.431568627451,694.431568627451,3.66189721002946
"PEBP1","PEBP1",2970.32285714286,3663.52549019608,-693.202633053221,693.202633053221,0.810782636859415
"ID1","ID1",599.567142857143,1290.64901960784,-691.0818767507,691.0818767507,0.464547009875171
"RPS18","RPS18",14368.0228571429,15058.9901960784,-690.967338935574,690.967338935574,0.954115957980009
"UBL5","UBL5",1361.55,2050.2568627451,-688.706862745098,688.706862745098,0.66408752227124
"EEF1D","EEF1D",2804.03982142857,3491.47009803922,-687.430276610644,687.430276610644,0.803111509677054
"CDC42EP3","CDC42EP3",1827.39178571429,1141.46699346405,685.924792250233,685.924792250233,1.60091513480266
"THBS2","THBS2",1863.45071428571,1183.26862745098,680.182086834734,680.182086834734,1.57483319599201
"HSD17B6","HSD17B6",1209.58285714286,530.736274509804,678.846582633053,678.846582633053,2.27906573421997
"NUPR1","NUPR1",2194.97285714286,2863.25882352941,-668.285966386555,668.285966386555,0.766599526073307
"HOPX","HOPX",913.650952380953,249.655555555556,663.995396825397,663.995396825397,3.65964598844121
"CAV1","CAV1",2658.69285714286,3321.74411764706,-663.051260504202,663.051260504202,0.80039062702582
"BAMBI","BAMBI",631.788571428571,1294.69215686275,-662.903585434174,662.903585434174,0.487983624585707
"TBCA","TBCA",3218.19142857143,3878.10588235294,-659.914453781512,659.914453781512,0.829835885403644
"COL16A1","COL16A1",1780.86428571429,1121.1137254902,659.75056022409,659.75056022409,1.58847781917541
"HIST3H3","HIST3H3",1170.06857142857,1825.9137254902,-655.845154061625,655.845154061625,0.640812627176261
"CITED2","CITED2",293.648333333333,947.86568627451,-654.217352941177,654.217352941177,0.309799518629573
"COLEC12","COLEC12",1081.98571428571,429.805882352941,652.179831932773,652.179831932773,2.51738228514337
"MAGED1","MAGED1",2016.34142857143,1367.90490196078,648.436526610644,648.436526610644,1.47403626208311
"RPS14","RPS14",4191.80333333333,4838.49330065359,-646.689967320262,646.689967320262,0.866344763310325
"FKBP2","FKBP2",1328.00857142857,1972.79411764706,-644.785546218487,644.785546218487,0.673161258718917
"CLIC1","CLIC1",1466.76142857143,2108.16666666667,-641.405238095238,641.405238095238,0.695752120438657
"TUBB2A","TUBB2A",1353.40142857143,1990.26862745098,-636.867198879552,636.867198879552,0.680009426820332
"PTN","PTN",1797.10464285714,1161.56862745098,635.536015406163,635.536015406163,1.54713600245973
"WFDC1","WFDC1",1047.68571428571,417.327450980392,630.358263305322,630.358263305322,2.51046441307532
"COX7C","COX7C",3232.28904761905,3860.03660130719,-627.747553688141,627.747553688141,0.837372642146565
