"GENE_SYMBOL","UL_mean","nonUL_mean","pancreaticMeans","sebumMeans","gliomaMeans"
"GABBR2",16.8775,14.7362745098039,615.2,3.587,7.57574
"GABPA",101.904285714286,99.306862745098,1539.85,7.8265,8.59267
"GABPB1",101.045,94.2549019607843,222.85,8.9069,10.01319
"GABRA2",15.0904761904762,9.60457516339869,110.4,3.1009,6.82920333333333
"GABRA3",7.33571428571429,6.05882352941176,105.4,3.6411,6.84779333333333
"GABRA4",22.9385714285714,22.1588235294118,103.2,2.8733,7.03235333333333
"GABRA5",9.87238095238096,11.7888888888889,108,3.5271,6.10785333333333
"GABRA6",4.55,5.13137254901961,108.8,3.0299,5.47098333333333
"GABRB1",57.2971428571429,23.4186274509804,109.8,3.2657,6.16533666666667
"GABRB2",29.4238095238095,27.9679738562092,102.1,4.1028,6.37786
"GABRB3",21.0032857142857,17.4660784313725,706,5.4514,8.09488333333333
"GABRD",7.80928571428571,6.69313725490196,223.6,3.6971,8.01546666666667
"GABRG2",12.2833333333333,16.0241830065359,104.4,4.8063,6.28607333333333
"GABRP",9.94714285714286,102.764705882353,127.6,4.9601,6.30574666666667
"GABRQ",26.7830952380952,24.0751633986928,104.9,3.587,8.03704666666667
"GABRR1",21.0771428571429,14.5882352941176,110.1,3.4544,5.69234666666667
"GABRR2",27.6128571428571,30.6313725490196,127.7,3.6411,6.98811666666667
"GAD1",7.74047619047619,9.35490196078431,143.433333333333,3.3886,8.30137333333333
"GAD2",12.9101904761905,13.7443137254902,107,3.6971,5.13085
"GADD45A",860.854285714286,689.119607843137,1386.85,10.9789,10.4477666666667
"GADD45B",195.455,441.428431372549,5450,11.2442,8.17414
"GADD45G",236.23,242.623529411765,261.5,4.4696,8.76319333333333
"GADD45GIP1",214.409285714286,413.007516339869,151.3,12.8043,9.22634333333333
"GAL",25.7421428571429,26.6127450980392,692.8,12.0975,8.62692333333333
"GAL3ST1",20.1942857142857,29.5843137254902,118.3,4.4696,7.52675
"GAL3ST4",121.534285714286,93.9647058823529,120.1,4.1808,9.28830333333333
"GALC",107.312142857143,163.824509803922,675.9,3.1484,6.5624
"GALE",46.9947619047619,43.137908496732,163.166666666667,8.6573,8.00207
"GALK1",21.8235714285714,29.4558823529412,3829.5,7.637,9.02503333333333
"GALK2",126.286904761905,108.293790849673,212.466666666667,9.5116,8.76422666666667
"GALNS",75.1678571428571,77.328431372549,218.2,7.1217,9.17656333333333
"GALNT1",276.515,242.568137254902,185.9,6.2155,10.1716633333333
"GALNT10",49.0009523809524,49.3895424836601,417.333333333333,5.3198,9.41843
"GALNT11",435.622857142857,493.402941176471,1180.6,5.2583,10.26772
"GALNT12",40.145,40.9872549019608,241.1,5.9859,7.46170333333333
"GALNT14",32.1142857142857,12.9823529411765,109.3,7.7826,7.18647
"GALNT2",131.993214285714,171.525,129.2,9.2544,10.4172166666667
"GALNT3",17.03,23.4401960784314,120.6,9.3315,5.32859666666667
"GALNT6",14.2807142857143,16.8294117647059,146.5,8.991,6.71615333333333
"GALNT7",195.269285714286,258.355882352941,806.3,11.0123,9.84862
"GALNT8",21.0614285714286,22.0235294117647,107.6,3.587,5.45284666666667
"GALR1",4.50285714285714,4.81960784313725,110.65,2.4362,8.22796333333333
"GALR2",8.72571428571429,7.26274509803922,136.3,3.9241,7.07618666666667
"GALR3",550.852857142857,736.16862745098,117.55,13.9858,8.37700666666667
"GALT",97.8802380952381,174.578758169935,385.15,8.7709,8.11045666666667
"GAMT",97.0419047619048,58.2209150326797,1323.3,10.5886,9.88340666666667
"GAN",49.945,45.2980392156863,278,6.3541,8.37592333333333
"GANAB",621.587857142857,574.296078431373,191.5,7.8465,11.5472
"GAP43",30.5157142857143,18.1143790849673,123.8,2.6756,10.6722866666667
