"","GSM1399027.CBD","GSM1399028.CTRL","GSM1399029.CBD","GSM1399030.CTRL","GSM1399031.CBD","GSM1399032.CTRL"
"119",8.68462,8.80536,8.75209,8.86493,8.89508,8.75518
"120",10.0956,10.2065,10.4375,10.7979,10.4552,10.5312
"121",6.99931,7.06065,7.52534,7.42883,6.97283,7.1054
"122",7.0755,7.08679,7.42781,7.46766,6.64302,6.52313
"123",7.65385,7.69847,7.63572,7.99171,6.90697,7.25786
"124",9.1752,9.23386,9.39584,9.34467,10.0202,9.44741
"125",6.84083,6.92784,7.06312,7.0226,6.73033,6.53222
"126",6.90257,6.91254,7.01945,7.25034,6.72835,6.34333
"127",6.33632,6.49418,6.94706,7.01225,6.11608,5.99669
"128",10.9099,10.9077,10.6985,10.5559,10.3995,10.263
"129",10.8575,10.8404,10.5677,10.5209,9.97023,10.0414
"130",6.44502,6.38957,6.99103,6.91676,6.35221,6.16424
"131",6.05224,6.69011,6.48529,7.02548,6.48099,6.09645
"132",6.60418,6.61626,6.97128,6.93352,7.31151,7.02114
"133",12.412,12.6864,11.9739,11.5561,12.4298,12.3098
"134",7.24072,6.94595,7.35728,7.25163,7.05306,6.84479
"135",5.52822,5.68598,5.9615,6.20756,5.84745,5.71101
"136",6.2017,6.18113,6.30084,6.24846,6.21331,6.12875
"137",7.03346,7.09173,7.34199,7.18181,6.89832,6.91899
"138",6.31581,6.49116,6.68381,6.6481,6.35517,6.33223
"139",6.12284,6.11873,6.54535,6.17862,6.1387,5.51655
"140",7.42529,7.51572,8.12377,8.19768,8.25408,8.48238
"141",6.42112,6.58756,6.5657,6.68222,6.3604,6.11446
"142",6.78117,6.77787,7.08807,6.90443,9.53757,8.30192
"143",7.42201,7.42254,7.47126,7.60441,7.38166,6.94406
"144",6.60514,6.5816,6.6791,6.63712,6.30022,6.53583
"145",9.93953,10.0639,9.07552,8.96354,8.95089,9.03376
"146",8.72114,9.00482,8.89461,9.09992,9.07719,9.50776
"147",4.92662,5.09624,5.10205,5.44172,4.80019,4.71974
"148",9.83241,9.65784,9.29102,9.2149,9.55731,9.57708
"149",7.98185,8.05562,7.74203,7.60486,7.4055,7.89629
"150",8.67679,8.74538,8.84085,8.93765,8.94839,8.74115
"151",7.10097,7.26139,7.3489,7.42482,6.94859,6.94409
"152",7.45174,7.24199,7.18384,7.4687,7.34744,7.39785
"153",6.35449,6.57705,6.24713,6.53841,6.40767,6.37532
"154",7.29829,7.25353,7.28961,7.27567,7.01249,6.72055
"155",6.12083,6.12833,6.21614,6.63691,6.11057,5.94356
"156",6.46475,6.61954,6.89271,6.67861,6.36029,6.2837
"157",9.08087,9.10956,9.30559,9.2619,9.12496,8.95789
"158",6.50217,6.6233,7.0249,6.90302,6.55119,6.41917
"159",8.09468,7.98223,8.35632,8.58252,9.06979,9.29434
"160",8.75755,8.90617,9.15815,8.85455,9.62195,9.08728
"161",8.34053,8.18299,8.1128,7.96841,8.27,8.15606
"162",7.08802,7.00072,7.42357,7.59031,7.48774,7.44899
"163",7.27844,7.27183,7.37773,7.37148,7.27971,6.92534
"164",7.23977,7.6152,7.69314,7.69323,7.25252,7.21548
"165",7.02511,7.1444,7.27135,7.80739,6.96775,6.85838
"166",7.69782,7.85062,7.39769,7.3743,7.40199,7.72991
"167",8.76409,8.65087,7.6087,7.93567,8.86365,8.79524
"168",9.06429,8.82024,8.9846,9.06965,9.20985,9.40251
"169",6.85764,7.06752,6.9615,7.12385,6.81999,6.79048
"170",6.29824,6.3091,7.08697,6.67647,5.92098,5.75875
