"GENE_SYMBOL","UL_mean","nonUL_mean","gliomaMeans","gliomaMeans_CBD","sebumMeans","sebum_CBDtreated_Means","pancreaticMeans","DE_incr_ARHGFE10_pancr","DE_decr_ARHGFE10_pancr","FC_incr_ARHGFE10_pancr","FC_decr_ARHGFE10_pancr"
"RBBP9",70.2407142857143,55.9754901960784,10.1132666666667,10.15018,7.7108,7.545144,356.65,4717.3,-5090.1,14.2266928361138,0.0770611593624776
"RBCK1",204.385714285714,214.549019607843,10.0101733333333,9.82651333333333,7.4719,7.922613,1965.9,11191.85,-12514.25,6.69299048781728,0.398120426415031
"RBKS",59.5942857142857,67.8245098039216,6.14590666666667,5.85992666666667,10.2505,10.210772,145.5,1724.6,-1712.5,12.8529209621993,0.10839797990316
"RBL1",12.1953571428571,13.4882352941176,9.18155333333333,9.49584,5.7123,5.823246,437.75,5191.55,-7815.65,12.85962307253,0.0952171471900812
"RBL2",250.238571428571,258.507843137255,8.60242666666667,8.62919666666667,8.4698,8.641946,841.7,14376.4,-9357.9,18.0801948437686,0.0432671171954075
"RBM12",226.116428571429,181.71862745098,11.3998,11.4366666666667,8.2818,8.745829,6079.45,12835.45,-11855.9,3.1112847379286,0.283865083296085
"RBM12B",74.1564285714286,84.443137254902,8.34253333333333,8.38110333333333,7.6928,7.631262,909.6,7952.4,-9967.3,9.74274406332454,0.160096737225293
"RBM14",210.998095238095,191.271895424837,10.11241,10.3011366666667,4.795,5.062589,761.3,13240.3,-12126.3,18.3916984106134,0.0568988715108999
"RBM15B",219.757142857143,210.288235294118,8.91533666666667,9.0613,4.3616,3.575997,1166.9,10515.9,-8861.4,10.0118262061873,0.190628853267571
"RBM17",294.5025,278.63954248366,7.97426666666667,7.98822,9.4657,9.476181,2573.9,12190.6,-11038.8,5.73623683903804,0.340498622902241
"RBM19",64.105,62.8411764705882,8.96007,8.92850666666667,9.0681,8.630415,172,1063.3,-2340.5,7.18197674418605,0.120212006164718
"RBM22",260.916666666667,254.901307189543,10.13268,10.05364,5.5597,5.909261,13570,11757.6,-12986.7,1.8664406779661,0.527371386147262
"RBM25",333.103612244898,384.581988795518,9.85926,10.03043,9.9175,9.809673,2930.3,10725,-8670.9,4.66003480872266,0.30062106791418
"RBM28",271.085714285714,184.150980392157,9.46704666666667,9.28835,10.4288,10.441595,3758.3,12709.7,-11561.9,4.38176835271266,0.281458970343302
"RBM3",564.377857142857,714.539215686274,10.8779666666667,10.9354,10.6922,10.637766,475.833333333333,3956.26666666667,-4149.56666666667,9.31439579684764,0.154185351270553
"RBM34",39.3807142857143,92.7490196078431,8.92266333333333,8.78736,9.5053,9.593569,3461.8,8085.7,-7517.3,3.33569241435092,0.390299687740784
"RBM38",193.419285714286,126.316666666667,8.65299333333333,8.73496,5.745,5.921426,775.95,3088.3,-5800.45,4.9800244861138,0.23602394483994
"RBM39",882.159642857143,975.733333333333,11.2760666666667,11.0762333333333,11.2984,11.325329,514.25,13473.95,-13903.6,27.2011667476908,0.0542605075741601
"RBM41",65.3097619047619,66.6823529411764,7.44095333333333,7.57058333333333,7.9473,7.997932,274.8,4199.9,-5770.4,16.2834788937409,0.113092127509145
"RBM47",23.5037142857143,36.9058823529412,7.80608333333333,7.30550333333333,4.5882,4.224208,557.65,7816.65,-7049.5,15.0171254371021,0.0508024990574675
"RBM4B",278.612857142857,208.796078431373,10.2640433333333,10.5170333333333,7.8291,8.005943,921.7,10138.9,-13213.5,12.0002169903439,0.154027389191577
"RBM5",573.844047619048,535.003594771242,10.4674666666667,10.4051433333333,11.5024,11.596517,1189.9,18352.8,-19450.6,16.4238171274897,0.0790391999962121
"RBM6",446.085714285714,409.339215686274,9.00713,8.94266,7.1728,7.156706,380.9,12366,-12029.2,33.4652139669205,0.038248744763184
"RBM7",244.402142857143,248.411764705882,7.70404666666667,7.47519,7.9626,7.756472,575.9,5381.3,-9278.4,10.3441569716965,0.0979145398862476
"RBM8A",387.4075,361.880882352941,7.84047,8.11041333333333,9.0702,9.093708,378.7,1698.1,-1596.8,5.48402429363612,0.243509569831344
"RBMS1",966.04,1142.66944444444,9.30888666666667,8.81913333333333,8.8838,8.770144,936.86,5332.54,-7583.8,6.69192835642465,0.337481173975183
"RBMS2",85.6759523809524,77.9745098039216,9.63645333333333,9.72677666666667,8.3801,8.129365,455.5,8001.3,-15056.1,18.5659714599341,0.0840785487462131
"RBMS3",145.381224489796,188.936484593838,7.60640333333333,8.04302333333333,3.8493,4.00252,502.233333333333,3472.1,-5702.53333333333,7.91332050175881,0.194136295333249
